ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
KR7005930003,228638.04573,,5G Infrastructure & Hardware,,,,,,,,,,,
US4581401001,204649.76070,,5G Infrastructure & Hardware,,,,,,,,,,,
US17275R1023,188155.99924,,5G Infrastructure & Hardware,,,,,,,,,,,
US4592001014,100821.60928,,5G Infrastructure & Hardware,,,,,,,,,,,
US11135F1012,99744.74114,,5G Infrastructure & Hardware,,,,,,,,,,,
US03027X1000,69597.10504,,5G Infrastructure & Hardware,,,,,,,,,,,
US7475251036,66487.13672,,5G Infrastructure & Hardware,,,,,,,,,,,
JP3435000009,60516.03429,,5G Infrastructure & Hardware,,,,,,,,,,,
US22822V1017,44057.06938,,5G Infrastructure & Hardware,,,,,,,,,,,
US2538681030,43771.45386,,5G Infrastructure & Hardware,,,,,,,,,,,
KYG9830T1067,39442.42458,,5G Infrastructure & Hardware,,,,,,,,,,,
US5951121038,33990.14461,,5G Infrastructure & Hardware,,,,,,,,,,,
FI0009000681,32162.79874,,5G Infrastructure & Hardware,,,,,,,,,,,
SE0000108656,28893.03351,,5G Infrastructure & Hardware,,,,,,,,,,,
US29444U7000,28161.42049,,5G Infrastructure & Hardware,,,,,,,,,,,
JP3902400005,23657.08448,,5G Infrastructure & Hardware,,,,,,,,,,,
DE0006231004,22100.56816,,5G Infrastructure & Hardware,,,,,,,,,,,
NL0009538784,20785.61059,,5G Infrastructure & Hardware,,,,,,,,,,,
US9839191015,20625.53541,,5G Infrastructure & Hardware,,,,,,,,,,,
INE860A01027,19055.45279,,5G Infrastructure & Hardware,,,,,,,,,,,
US78410G1040,18334.20369,,5G Infrastructure & Hardware,,,,,,,,,,,
US42824C1099,17637.32883,,5G Infrastructure & Hardware,,,,,,,,,,,
US0079031078,16919.96052,,5G Infrastructure & Hardware,,,,,,,,,,,
JP3818000006,12611.20613,,5G Infrastructure & Hardware,,,,,,,,,,,
TW0002454006,11549.51037,,5G Infrastructure & Hardware,,,,,,,,,,,
US83088M1027,11449.03815,,5G Infrastructure & Hardware,,,,,,,,,,,
US49338L1035,10719.98756,,5G Infrastructure & Hardware,,,,,,,,,,,
INE669C01036,9753.06312,,5G Infrastructure & Hardware,,,,,,,,,,,
KR7066570003,9493.49355,,5G Infrastructure & Hardware,,,,,,,,,,,
US3156161024,9374.14627,,5G Infrastructure & Hardware,,,,,,,,,,,
