ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
US74340W1036,,4570459.438,,,,,,Pure Play,,,,,,,20.0,1.0,1.0
US74460D1090,,3187980.958,,,,,,Pure Play,,,,,,,14.124132079069682,0.0,1.0
US98980A1051,,1440454.583,,,,,,Pure Play,,,,,,,6.381835729958975,0.0,1.0
US30225T1025,,1224089.649,,,,,,Pure Play,,,,,,,5.4232456551260375,0.0,1.0
US2644115055,,1065621.863,,,,,,Pure Play,,,,,,,4.7211649434689935,0.0,1.0
US5311721048,,701001.0958,,,,,,Pure Play,,,,,,,3.105737516971636,0.0,1.0
US2296631094,,571057.0333,,,,,,Pure Play,,,,,,,2.530029215755088,0.0,1.0
US03064D1081,,452156.0249,,,,,,Pure Play,,,,,,,2.003246412124498,0.0,1.0
US32054K1034,,430751.4644,,,,,,Pure Play,,,,,,,1.9084149675270057,0.0,1.0
US53223X1072,,422674.2869,,,,,,Pure Play,,,,,,,1.872629583818923,0.0,1.0
US2772761019,,392951.0075,,,,,,Pure Play,,,,,,,1.740942622824004,0.0,1.0
US76169C1009,,368313.4976,,,,,,Pure Play,,,,,,,1.6317878165339132,0.0,1.0
US85254J1025,,357027.2901,,,,,,Pure Play,,,,,,,1.5817850444026165,0.0,1.0
US88146M1018,,259190.7156,,,,,,Pure Play,,,,,,,1.148326777679262,0.0,1.0
US6378701063,,154909.9544,,,,,,Pure Play,,,,,,,0.6863179815480759,0.0,1.0
US4562371066,,127218.2198,,,,,,Pure Play,,,,,,,0.5636316411521418,0.0,1.0
US6097201072,,113883.1677,,,,,,Pure Play,,,,,,,0.5045516028385392,0.0,1.0
US08653C1062,,16300.98671,,,,,,Pure Play,,,,,,,0.07222040920082545,0.0,1.0
US0231351067,,77869615.95,,,,,,Marginal,,,,,,,13.914651010424091,0.0,0.0
US01609W1027,,47817433.72,,,,,,Marginal,,,,,,,8.544576653044157,0.0,0.0
US9311421039,,14384279.18,,,,,,Marginal,,,,,,,2.5703507380173383,0.0,0.0
US9113121068,,7913944.118,,,,,,Marginal,,,,,,,1.4141558189869112,0.0,0.0
US31428X1063,,4711547.77,,,,,,Marginal,,,,,,,0.8419142965927502,0.0,0.0
US87612E1064,,4221513.023,,,,,,Marginal,,,,,,,0.7543491737357848,0.0,0.0
US47215P1066,,3584182.939,,,,,,Marginal,,,,,,,0.6404636024624073,0.0,0.0
US92936U1097,,1279418.324,,,,,,Marginal,,,,,,,0.2286213853453799,0.0,0.0
US94419L1017,,897477.5076,,,,,,Marginal,,,,,,,0.160371746484249,0.0,0.0
US4456581077,,849035.3814,,,,,,Marginal,,,,,,,0.15171554249438046,0.0,0.0
US9837931008,,712951.2068,,,,,,Marginal,,,,,,,0.1273984353082288,0.0,0.0
US92763W1036,,446376.4225,,,,,,Marginal,,,,,,,0.07976374433845035,0.0,0.0
US0025353006,,347359.6305,,,,,,Marginal,,,,,,,0.062070269315581045,0.0,0.0
US7835491082,,346655.5495,,,,,,Marginal,,,,,,,0.06194445591225872,0.0,0.0
US69360J1079,,289450.1034,,,,,,Marginal,,,,,,,0.05172231973416029,0.0,0.0
US05550J1016,,258890.6671,,,,,,Marginal,,,,,,,0.04626160330449634,0.0,0.0
US19626G1085,,230779.0839,,,,,,Marginal,,,,,,,0.04123829781099467,0.0,0.0
US11282X1037,,209655.2651,,,,,,Marginal,,,,,,,0.03746364754434679,0.0,0.0
US5290431015,,202855.2455,,,,,,Marginal,,,,,,,0.03624854074763678,0.0,0.0
US63845R1077,,193521.6854,,,,,,Marginal,,,,,,,0.034580711390937366,0.0,0.0
US3498531017,,191064.0971,,,,,,Marginal,,,,,,,0.034141560855717595,0.0,0.0
US78709Y1055,,175276.6657,,,,,,Marginal,,,,,,,0.03132047851696475,0.0,0.0
US9507551086,,158659.6125,,,,,,Marginal,,,,,,,0.028351149680822578,0.0,0.0
US3793782018,,153013.81,,,,,,Marginal,,,,,,,0.027342291854790375,0.0,0.0
US0893021032,,148340.0504,,,,,,Marginal,,,,,,,0.026507129989058596,0.0,0.0
US80689H1023,,108930.0547,,,,,,Marginal,,,,,,,0.01946489240001069,0.0,0.0
US03937C1053,,81001.00815,,,,,,Marginal,,,,,,,0.014474204683678903,0.0,0.0
US3765361080,,61307.740560000006,,,,,,Marginal,,,,,,,0.010955181988797545,0.0,0.0
US13462K1097,,42425.69013,,,,,,Marginal,,,,,,,0.007581117035615018,0.0,0.0
