ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US5797802064,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US25754A2015,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US4001101025,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US71377A1034,,,,,,,,Pure Play,,,,,,,3.8461538461538463
VGG6564A1057,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US85208M1027,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US4778391049,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US4052171000,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US9111631035,,,,,,,,Pure Play,,,,,,,3.8461538461538463
KYG367381053,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US68243Q1067,,,,,,,,Pure Play,,,,,,,3.8461538461538463
CA8676EP1086,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US09523Q1013,,,,,,,,Pure Play,,,,,,,3.8461538461538463
US9024941034,,,,,,,,Quasi Play,,,,,,,2.380952380952381
US0231351067,,,,,,,,Marginal,,,,,,,2.380952380952381
US8718291078,,,,,,,,Marginal,,,,,,,2.380952380952381
US3703341046,,,,,,,,Marginal,,,,,,,2.380952380952381
US0394831020,,,,,,,,Marginal,,,,,,,2.380952380952381
US5010441013,,,,,,,,Marginal,,,,,,,2.380952380952381
US98850P1093,,,,,,,,Marginal,,,,,,,2.380952380952381
US2058871029,,,,,,,,Marginal,,,,,,,2.380952380952381
US8326964058,,,,,,,,Marginal,,,,,,,2.380952380952381
US1696561059,,,,,,,,Marginal,,,,,,,2.380952380952381
US5132721045,,,,,,,,Marginal,,,,,,,2.380952380952381
US9120081099,,,,,,,,Marginal,,,,,,,2.380952380952381
US3434981011,,,,,,,,Marginal,,,,,,,2.380952380952381
US22410J1060,,,,,,,,Marginal,,,,,,,2.380952380952381
US1475281036,,,,,,,,Marginal,,,,,,,2.380952380952381
US9490901041,,,,,,,,Marginal,,,,,,,2.380952380952381
US89469A1043,,,,,,,,Marginal,,,,,,,2.380952380952381
US6988131024,,,,,,,,Marginal,,,,,,,2.380952380952381
US24869P1049,,,,,,,,Marginal,,,,,,,2.380952380952381
US2423702032,,,,,,,,Marginal,,,,,,,2.380952380952381
US8685363017,,,,,,,,Marginal,,,,,,,2.380952380952381
