ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
TW0002357001,5419.498132,,,,,9.130959957,9.052632452,Active Enablers,,,,,,
JP3818000006,14475.42911,,,,,63.43021819,76.77884887,Active Enablers,,,,,,
IE00B4BNMY34,101500.9975,,,,,354.6913726,294.2975977,Active Enablers,,,,,,
US0079031078,23805.48089,,,,,1967.608338,2338.71155,Active Enablers,,,,,,
US0231351067,789829.8446,,,,,10315.48477,8971.863865,Active Enablers,,,,,,
FR0000051732,9970.806152,,,,,96.25232539,126.4312958,Active Enablers,,,,,,
US01609W1027,427326.1277,,,,,2418.741669,2216.646046,Active Enablers,,,,,,
US0567521085,59276.2071,,,,,471.2163098,390.6724644,Active Enablers,,,,,,
US1924461023,42444.11859,,,,,247.1027582,270.5123172,Active Enablers,,,,,,
SE0000108656,31098.47272,,,,,243.0799917,298.4269529,Active Enablers,,,,,,
US4592001014,125440.8356,,,,,640.272618,584.0252271,Active Enablers,,,,,,
US4581401001,232315.0193,,,,,1282.547095,1413.503008,Active Enablers,,,,,,
US5949181045,830286.8884,,,,,3779.123303,3202.113445,Active Enablers,,,,,,
US5951121038,47072.76529,,,,,1244.16547,1539.316665,Active Enablers,,,,,,
US67066G1040,95977.39777,,,,,2743.169523,3275.882033,Active Enablers,,,,,,
US68389X1054,185618.8922,,,,,896.700167,666.0593898,Active Enablers,,,,,,
US70450Y1038,111349.269,,,,,754.9798551,809.227886,Active Enablers,,,,,,
DE0007164600,130485.335,,,,,678.466167,767.6973069,Active Enablers,,,,,,
CH0008742519,23021.3718,,,,,147.0763746,196.2833752,Active Enablers,,,,,,
DE000A2GS401,2690.534493,,,,,22.06847478,29.34440173,Active Enablers,,,,,,
US8740391003,190880.9866,,,,,1397.255276,1140.956159,Active Enablers,,,,,,
US8825081040,103325.6134,,,,,648.505243,665.4292259,Active Enablers,,,,,,
DE0007472060,13903.89126,,,,,461.5903033,1019.680525,Active Enablers,,,,,,
US9839191015,30204.9964,,,,,334.2829203,509.9748339,Active Enablers,,,,,,
US4385161066,111783.4706,,,,,447.0554904,495.0153781,Active Enablers,,,,,,
US00206R1023,221882.535,,,,,1152.07297,1100.012497,Active Enablers,,,,,,
US4567881085,45467.21005,,,,,180.3518817,148.7747926,Active Enablers,,,,,,
US47215P1066,34664.91936,,,,,382.9982975,341.7211806,Active Enablers,,,,,,
GB00B0SWJX34,20956.50277,,,,,111.3355277,88.80910629,Active Users,,,,,,
US31847R1023,5713.484851,,,,,32.06847442,30.52297473,Active Users,,,,,,
KR7023530009,4761.784048,,,,,12.93101629,12.10636106,Active Users,,,,,,
KR7005930003,270415.8506,,,,,442.2546966,517.0793237,Active Users,,,,,,
KR7006400006,14513.65819,,,,,70.08383568,70.14688645,Active Users,,,,,,
KR7034730002,17453.71748,,,,,23.89334943,28.72232285,Active Users,,,,,,
HK0000069689,112651.401,,,,,172.1966139,180.7852552,Active Users,,,,,,
CNE1000029W3,48220.19046,,,,,15.21608039,21.29771492,Active Users,,,,,,
TW0002354008,2765.945565,,,,,5.399307568,4.320311919,Active Users,,,,,,
HK2388011192,41360.97298,,,,,40.59365315,50.20586667,Active Users,,,,,,
JP3970300004,44364.49256,,,,,111.1389597,101.4552651,Active Users,,,,,,
CNE1000004Y2,13399.40385,,,,,21.61894975,17.83455752,Active Users,,,,,,
JP3131400008,4461.043124,,,,,7.096068535,6.514926344,Active Users,,,,,,
JP3165700000,15083.64551,,,,,37.58132917,41.68722882,Active Users,,,,,,
JP3436100006,102843.1206,,,,,757.9798324,1158.436546,Active Users,,,,,,
US0268747849,36796.64823,,,,,291.3910585,307.6769861,Active Users,,,,,,
NL0000235190,97047.78444,,,,,530.086387,635.74757,Active Users,,,,,,
DE0008404005,90904.05178,,,,,660.2201132,694.2943939,Active Users,,,,,,
US87236Y1082,31862.23916,,,,,102.8187706,122.2678169,Active Users,,,,,,
AU000000ASX7,9350.392354,,,,,17.98415103,21.34041589,Active Users,,,,,,
GB0031348658,35111.5246,,,,,171.3557745,143.5670036,Active Users,,,,,,
TH0001010006,12633.05797,,,,,22.42214323,21.45951315,Active Users,,,,,,
ES0113211835,39008.88162,,,,,328.0575386,341.3796619,Active Users,,,,,,
AU000000BHP4,76488.49666,,,,,382.7060557,274.3311075,Active Users,,,,,,
