ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight,Cap
US3383071012,,267901.2422,,,,,,Pure Play,,,,,,,4.9,1
US74736A1034,,229129.2071,,,,,,Pure Play,,,,,,,4.9,1
US09239B1098,,215296.9366,,,,,,Pure Play,,,,,,,4.9,1
US18914U1007,,205563.665,,,,,,Pure Play,,,,,,,4.9,1
US2829141009,,205511.3446,,,,,,Pure Play,,,,,,,4.9,1
US0116421050,,180020.6614,,,,,,Pure Play,,,,,,,4.492001087482157,0
US78463M1071,,169762.5392,,,,,,Pure Play,,,,,,,4.236033268457552,0
GB00BYT5JK65,,167927.3498,,,,,,Pure Play,,,,,,,4.190240342709887,0
US29978A1043,,161930.5941,,,,,,Pure Play,,,,,,,4.040605112418677,0
US5381461012,,152306.0406,,,,,,Pure Play,,,,,,,3.8004465414396127,0
US03835C1080,,147595.8645,,,,,,Pure Play,,,,,,,3.6829149425726366,0
US60255W1053,,142850.2798,,,,,,Pure Play,,,,,,,3.5644998036249316,0
US8733791011,,142066.6372,,,,,,Pure Play,,,,,,,3.5449458069668722,0
US45781U1034,,125293.1374,,,,,,Pure Play,,,,,,,3.1264017423216246,0
US74346Y1038,,116724.3865,,,,,,Pure Play,,,,,,,2.912588294121708,0
IL0010834765,,108226.5722,,,,,,Pure Play,,,,,,,2.700544905435317,0
KYG1992S1093,,102959.8517,,,,,,Pure Play,,,,,,,2.569126022572216,0
US08180D1063,,101650.3429,,,,,,Pure Play,,,,,,,2.536450245759036,0
US98139A1051,,100161.8962,,,,,,Pure Play,,,,,,,2.499309485675931,0
US8168831027,,96218.17245,,,,,,Pure Play,,,,,,,2.4009029403607425,0
US45781D1019,,69289.5291,,,,,,Pure Play,,,,,,,1.7289606517817546,0
US98419E1082,,62536.775239999995,,,,,,Pure Play,,,,,,,1.5604612281782626,0
US91544A1097,,62109.3834,,,,,,Pure Play,,,,,,,1.5497966489286892,0
US90138A1034,,53262.08262,,,,,,Pure Play,,,,,,,1.3290326298656987,0
US6075251024,,41467.99375,,,,,,Pure Play,,,,,,,1.0347382993266978,0
US1013881065,,271204.2292,,,,,,Quasi Play,,,,,,,2.0,1
US64115T1043,,193964.5208,,,,,,Quasi Play,,,,,,,2.0,1
US45321L1008,,163382.7122,,,,,,Quasi Play,,,,,,,2.0,1
US8742242071,,162937.8956,,,,,,Quasi Play,,,,,,,2.0,1
US7534221046,,137909.0539,,,,,,Quasi Play,,,,,,,2.0,1
US9092143067,,93076.25683,,,,,,Quasi Play,,,,,,,2.0,1
US03782L1017,,83749.22198,,,,,,Quasi Play,,,,,,,2.0,1
US74727D3061,,62285.49193,,,,,,Quasi Play,,,,,,,2.0,1
US60739U2042,,32273.3843,,,,,,Quasi Play,,,,,,,2.0,1
