ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,cap,weight
TW0002357001,5419.498132,,,,,9.130959957,9.052632452000001,Active Enablers,,,,,,,0.0,1.7857142857142858
JP3818000006,14475.42911,,,,,63.43021819,76.77884887,Active Enablers,,,,,,,0.0,1.7857142857142858
IE00B4BNMY34,101500.9975,,,,,354.6913726,294.2975977,Active Enablers,,,,,,,0.0,1.7857142857142858
US0079031078,23805.48089,,,,,1967.608338,2338.71155,Active Enablers,,,,,,,0.0,1.7857142857142858
US0231351067,789829.8446,,,,,10315.484770000001,8971.863865000001,Active Enablers,,,,,,,0.0,1.7857142857142858
FR0000051732,9970.806152,,,,,96.25232539,126.43129579999999,Active Enablers,,,,,,,0.0,1.7857142857142858
US01609W1027,427326.1277,,,,,2418.741669,2216.6460460000003,Active Enablers,,,,,,,0.0,1.7857142857142858
US0567521085,59276.2071,,,,,471.21630980000003,390.67246439999997,Active Enablers,,,,,,,0.0,1.7857142857142858
US1924461023,42444.11859,,,,,247.10275819999998,270.5123172,Active Enablers,,,,,,,0.0,1.7857142857142858
SE0000108656,31098.472719999998,,,,,243.0799917,298.42695289999995,Active Enablers,,,,,,,0.0,1.7857142857142858
US4592001014,125440.8356,,,,,640.272618,584.0252271,Active Enablers,,,,,,,0.0,1.7857142857142858
US4581401001,232315.0193,,,,,1282.547095,1413.503008,Active Enablers,,,,,,,0.0,1.7857142857142858
US5949181045,830286.8884,,,,,3779.1233030000003,3202.113445,Active Enablers,,,,,,,0.0,1.7857142857142858
US5951121038,47072.765289999996,,,,,1244.16547,1539.316665,Active Enablers,,,,,,,0.0,1.7857142857142858
US67066G1040,95977.39777000001,,,,,2743.169523,3275.882033,Active Enablers,,,,,,,0.0,1.7857142857142858
US68389X1054,185618.8922,,,,,896.700167,666.0593898,Active Enablers,,,,,,,0.0,1.7857142857142858
US70450Y1038,111349.269,,,,,754.9798551,809.227886,Active Enablers,,,,,,,0.0,1.7857142857142858
DE0007164600,130485.335,,,,,678.466167,767.6973069000001,Active Enablers,,,,,,,0.0,1.7857142857142858
CH0008742519,23021.3718,,,,,147.0763746,196.2833752,Active Enablers,,,,,,,0.0,1.7857142857142858
DE000A2GS401,2690.534493,,,,,22.06847478,29.34440173,Active Enablers,,,,,,,0.0,1.7857142857142858
US8740391003,190880.9866,,,,,1397.2552759999999,1140.956159,Active Enablers,,,,,,,0.0,1.7857142857142858
US8825081040,103325.6134,,,,,648.505243,665.4292259,Active Enablers,,,,,,,0.0,1.7857142857142858
DE0007472060,13903.891259999999,,,,,461.59030329999996,1019.680525,Active Enablers,,,,,,,0.0,1.7857142857142858
US9839191015,30204.9964,,,,,334.2829203,509.97483389999996,Active Enablers,,,,,,,0.0,1.7857142857142858
US4385161066,111783.4706,,,,,447.0554904,495.0153781,Active Enablers,,,,,,,0.0,1.7857142857142858
US00206R1023,221882.535,,,,,1152.07297,1100.0124970000002,Active Enablers,,,,,,,0.0,1.7857142857142858
US4567881085,45467.21005,,,,,180.35188169999998,148.77479259999998,Active Enablers,,,,,,,0.0,1.7857142857142858
US47215P1066,34664.91936,,,,,382.99829750000004,341.7211806,Active Enablers,,,,,,,0.0,1.7857142857142858
GB00B0SWJX34,20956.50277,,,,,111.3355277,88.80910629,Active Users,,,,,,,0.0,0.6944444444444444
US31847R1023,5713.484851,,,,,32.06847442,30.52297473,Active Users,,,,,,,0.0,0.6944444444444444
KR7023530009,4761.7840479999995,,,,,12.93101629,12.10636106,Active Users,,,,,,,0.0,0.6944444444444444
KR7005930003,270415.8506,,,,,442.2546966,517.0793236999999,Active Users,,,,,,,0.0,0.6944444444444444
KR7006400006,14513.65819,,,,,70.08383568,70.14688645,Active Users,,,,,,,0.0,0.6944444444444444
KR7034730002,17453.717480000003,,,,,23.89334943,28.72232285,Active Users,,,,,,,0.0,0.6944444444444444
HK0000069689,112651.401,,,,,172.1966139,180.7852552,Active Users,,,,,,,0.0,0.6944444444444444
CNE1000029W3,48220.190460000005,,,,,15.21608039,21.29771492,Active Users,,,,,,,0.0,0.6944444444444444
TW0002354008,2765.945565,,,,,5.399307567999999,4.320311919,Active Users,,,,,,,0.0,0.6944444444444444
HK2388011192,41360.97298,,,,,40.59365315,50.20586667,Active Users,,,,,,,0.0,0.6944444444444444
JP3970300004,44364.49256,,,,,111.1389597,101.45526509999999,Active Users,,,,,,,0.0,0.6944444444444444
CNE1000004Y2,13399.40385,,,,,21.61894975,17.83455752,Active Users,,,,,,,0.0,0.6944444444444444
JP3131400008,4461.043124,,,,,7.096068535,6.514926344,Active Users,,,,,,,0.0,0.6944444444444444
JP3165700000,15083.64551,,,,,37.58132917,41.68722882,Active Users,,,,,,,0.0,0.6944444444444444
JP3436100006,102843.1206,,,,,757.9798324,1158.4365460000001,Active Users,,,,,,,0.0,0.6944444444444444
US0268747849,36796.64823,,,,,291.3910585,307.6769861,Active Users,,,,,,,0.0,0.6944444444444444
NL0000235190,97047.78444,,,,,530.0863870000001,635.74757,Active Users,,,,,,,0.0,0.6944444444444444
DE0008404005,90904.05178,,,,,660.2201132,694.2943938999999,Active Users,,,,,,,0.0,0.6944444444444444
US87236Y1082,31862.23916,,,,,102.8187706,122.2678169,Active Users,,,,,,,0.0,0.6944444444444444
AU000000ASX7,9350.392354000001,,,,,17.98415103,21.34041589,Active Users,,,,,,,0.0,0.6944444444444444
GB0031348658,35111.5246,,,,,171.35577450000002,143.5670036,Active Users,,,,,,,0.0,0.6944444444444444
TH0001010006,12633.05797,,,,,22.42214323,21.45951315,Active Users,,,,,,,0.0,0.6944444444444444
ES0113211835,39008.88162,,,,,328.05753860000004,341.3796619,Active Users,,,,,,,0.0,0.6944444444444444
AU000000BHP4,76488.49666,,,,,382.7060557,274.33110750000003,Active Users,,,,,,,0.0,0.6944444444444444
IE00BD1RP616,6640.6969229999995,,,,,29.54046581,26.23598408,Active Users,,,,,,,0.0,0.6944444444444444
US0640581007,50892.9767,,,,,295.1914867,230.1634602,Active Users,,,,,,,0.0,0.6944444444444444
FR0000131104,59278.68782000001,,,,,543.6684267999999,604.2263082000001,Active Users,,,,,,,0.0,0.6944444444444444
US1729674242,152223.487,,,,,1182.655742,946.8710683,Active Users,,,,,,,0.0,0.6944444444444444
FR0000120172,16121.560330000002,,,,,154.0067708,124.45702309999999,Active Users,,,,,,,0.0,0.6944444444444444
FR0000125338,19323.62889,,,,,182.8146334,179.97495940000002,Active Users,,,,,,,0.0,0.6944444444444444
RU0009046510,12878.40277,,,,,35.47955021,43.37349936,Active Users,,,,,,,0.0,0.6944444444444444
US12572Q1058,62754.0813,,,,,354.77418819999997,328.8301228,Active Users,,,,,,,0.0,0.6944444444444444
US79466L3024,121673.2523,,,,,916.219894,798.1719152000001,Active Users,,,,,,,0.0,0.6944444444444444
FR0000120628,56660.92041,,,,,418.29812519999996,383.6015862,Active Users,,,,,,,0.0,0.6944444444444444
US17275R1023,222235.3988,,,,,1105.844251,1057.4863890000001,Active Users,,,,,,,0.0,0.6944444444444444
CH0012138530,29825.848169999997,,,,,323.9491539,308.24015410000004,Active Users,,,,,,,0.0,0.6944444444444444
DE0007100000,60985.62712999999,,,,,545.8802599999999,560.1034609000001,Active Users,,,,,,,0.0,0.6944444444444444
DE0005810055,23818.92254,,,,,175.9069825,192.3750417,Active Users,,,,,,,0.0,0.6944444444444444
BMG3922B1072,6239.494479999999,,,,,19.05345885,33.78708335,Active Users,,,,,,,0.0,0.6944444444444444
CA12532H1047,18154.81044,,,,,68.40502522,68.40502522,Active Users,,,,,,,0.0,0.6944444444444444
FR0000130809,22335.90338,,,,,361.00139360000003,417.3944747,Active Users,,,,,,,0.0,0.6944444444444444
US38141G1040,73836.83881,,,,,734.6534991000001,567.8226046,Active Users,,,,,,,0.0,0.6944444444444444
US40415F1012,80202.03926,,,,,341.3001196000001,364.352517,Active Users,,,,,,,0.0,0.6944444444444444
US42824C1099,22155.319369999997,,,,,165.12576289999998,185.30360149999998,Active Users,,,,,,,0.0,0.6944444444444444
GB0005405286,171412.5091,,,,,476.04919739999997,451.99845439999996,Active Users,,,,,,,0.0,0.6944444444444444
US45104G1040,30915.38025,,,,,260.19826800000004,326.5856224,Active Users,,,,,,,0.0,0.6944444444444444
US4568371037,48402.655060000005,,,,,522.2422667,570.0189813999999,Active Users,,,,,,,0.0,0.6944444444444444
US46625H1005,350997.1294,,,,,1641.5451150000001,1344.0259859999999,Active Users,,,,,,,0.0,0.6944444444444444
BE0003565737,28892.943939999997,,,,,143.76171169999998,144.87807659999999,Active Users,,,,,,,0.0,0.6944444444444444
FR0000120685,15665.865780000002,,,,,59.00315879,65.82325992,Active Users,,,,,,,0.0,0.6944444444444444
US16939P1066,86857.89887,,,,,433.02522450000004,524.6312807,Active Users,,,,,,,0.0,0.6944444444444444
US57636Q1040,227937.7175,,,,,878.9363807,870.2633192,Active Users,,,,,,,0.0,0.6944444444444444
US62886E1082,3287.990006,,,,,25.54401039,35.88516787,Active Users,,,,,,,0.0,0.6944444444444444
US6311031081,14388.866730000002,,,,,72.78093885,67.81169488,Active Users,,,,,,,0.0,0.6944444444444444
US6549022043,35346.064660000004,,,,,429.854665,624.6632137999999,Active Users,,,,,,,0.0,0.6944444444444444
US6658591044,20387.82566,,,,,118.88576409999999,110.0865074,Active Users,,,,,,,0.0,0.6944444444444444
US7055731035,4516.650135,,,,,17.98721113,17.7427333,Active Users,,,,,,,0.0,0.6944444444444444
US7565771026,31990.02305,,,,,360.15483430000006,273.713993,Active Users,,,,,,,0.0,0.6944444444444444
CA7800871021,109912.4873,,,,,398.81903450000004,369.7204749,Active Users,,,,,,,0.0,0.6944444444444444
ES0113900J37,74981.06034,,,,,834.4253884999999,1227.8518060000001,Active Users,,,,,,,0.0,0.6944444444444444
US8356993076,57998.188910000004,,,,,386.0991852,561.1982638,Active Users,,,,,,,0.0,0.6944444444444444
CH0244767585,49763.6609,,,,,372.3887186,339.9395002,Active Users,,,,,,,0.0,0.6944444444444444
US92826C8394,319175.4095,,,,,1328.816147,1269.729958,Active Users,,,,,,,0.0,0.6944444444444444
AT0000746409,16763.79046,,,,,42.0443525,28.35567788,Active Users,,,,,,,0.0,0.6944444444444444
AU000000WBC1,64406.031879999995,,,,,148.7287416,181.5144995,Active Users,,,,,,,0.0,0.6944444444444444
US97651M1099,23844.96128,,,,,29.5402118,27.87845362,Active Users,,,,,,,0.0,0.6944444444444444
IE00BDB6Q211,21860.01351,,,,,124.62792209999999,119.7594527,Active Users,,,,,,,0.0,0.6944444444444444
US9311421039,290496.9422,,,,,772.4381999,740.1929144999999,Active Users,,,,,,,0.0,0.6944444444444444
CA98462Y1007,2474.452405,,,,,40.10840867,57.75122186,Active Users,,,,,,,0.0,0.6944444444444444
ES0130670112,25651.22115,,,,,102.9487199,83.63479620000001,Active Users,,,,,,,0.0,0.6944444444444444
AT0000652011,15491.36634,,,,,89.86616674,94.62591401,Active Users,,,,,,,0.0,0.6944444444444444
IT0005282865,2224.905432,,,,,3.824987665,3.941519289,Active Users,,,,,,,0.0,0.6944444444444444
