ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight,Cap
US78781P1057,,190003.3302,,,,,,Quasi Play,,,,,,,2.0,1
US1013881065,,183440.4182,,,,,,Quasi Play,,,,,,,2.0,1
US03782L1017,,181828.5828,,,,,,Quasi Play,,,,,,,2.0,1
US8742242071,,114181.1955,,,,,,Quasi Play,,,,,,,2.0,1
IL0010834765,,103418.5386,,,,,,Quasi Play,,,,,,,2.0,1
KYG9T20A1060,,60298.223320000005,,,,,,Quasi Play,,,,,,,2.0,1
US60739U2042,,65094.14133,,,,,,Quasi Play,,,,,,,2.0,1
US9092143067,,47034.18003,,,,,,Quasi Play,,,,,,,1.648742363340563,0
US74727D3061,,41221.20639,,,,,,Quasi Play,,,,,,,1.4449736170556926,0
US3383071012,,372052.964,,,,,,Pure Play,,,,,,,4.9,1
US74736A1034,,265438.6546,,,,,,Pure Play,,,,,,,4.6923708293704784,0
US74346Y1038,,260398.0993,,,,,,Pure Play,,,,,,,4.603264912641088,0
US5381461012,,242482.6085,,,,,,Pure Play,,,,,,,4.28655849115,0
US09239B1098,,238238.5341,,,,,,Pure Play,,,,,,,4.211532602617494,0
US2829141009,,237956.4239,,,,,,Pure Play,,,,,,,4.206545515581724,0
US78489X1037,,191063.3262,,,,,,Pure Play,,,,,,,3.377578822400256,0
US10316T1043,,190431.3218,,,,,,Pure Play,,,,,,,3.366406376491567,0
US78463M1071,,177221.3124,,,,,,Pure Play,,,,,,,3.132882503121731,0
US18914U1007,,174980.5295,,,,,,Pure Play,,,,,,,3.0932703963968953,0
US1263491094,,170930.0769,,,,,,Pure Play,,,,,,,3.021667314868965,0
US0116421050,,166475.2888,,,,,,Pure Play,,,,,,,2.9429164721819157,0
GB00BYZFZ918,,159322.4068,,,,,,Pure Play,,,,,,,2.8164692714405315,0
US98139A1051,,156608.863,,,,,,Pure Play,,,,,,,2.768499793180001,0
CA49448Q1090,,152072.3425,,,,,,Pure Play,,,,,,,2.6883041016628044,0
US45781U1034,,135323.7717,,,,,,Pure Play,,,,,,,2.3922262558268343,0
DE000A2GS401,,131974.0358,,,,,,Pure Play,,,,,,,2.333010302344319,0
SG1AF6000009,,127793.4398,,,,,,Pure Play,,,,,,,2.259106572123321,0
US8733791011,,124829.0222,,,,,,Pure Play,,,,,,,2.2067021975861083,0
US90214J1016,,109957.7175,,,,,,Pure Play,,,,,,,1.943810282035538,0
US98983V1061,,106889.3366,,,,,,Pure Play,,,,,,,1.8895680653159936,0
US45781D1019,,105147.4002,,,,,,Pure Play,,,,,,,1.858774466085708,0
US72582H1077,,104044.8645,,,,,,Pure Play,,,,,,,1.8392840630590057,0
TW0006669005,,103551.2356,,,,,,Pure Play,,,,,,,1.8305577912415694,0
US14081R1032,,103002.4143,,,,,,Pure Play,,,,,,,1.8208558393441037,0
US91544A1097,,89082.85745,,,,,,Pure Play,,,,,,,1.5747887297170946,0
US08180D1063,,76085.18867999999,,,,,,Pure Play,,,,,,,1.3450185710411633,0
US6075251024,,65640.47284,,,,,,Pure Play,,,,,,,1.160378997718523,0
KYG1992S1093,,61073.84687,,,,,,Pure Play,,,,,,,1.079651107793957,0
JP3967170006,,47118.038,,,,,,Pure Play,,,,,,,0.8329431422923198,0
US29272B1052,,44694.77326,,,,,,Pure Play,,,,,,,0.7901051585218203,0
US2575541055,,44548.738769999996,,,,,,Pure Play,,,,,,,0.7875235903550035,0
US90138A1034,,30897.808439999997,,,,,,Pure Play,,,,,,,0.5462052059968999,0
JP3197690005,,17395.05587,,,,,,Pure Play,,,,,,,0.3075062780990215,0
