ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US0231351067,,82373337.35,,,,,,,,,,,,
US30303M1027,,47826604.47,,,,,,,,,,,,
US02079K3059,,34305555.73,,,,,,,,,,,,
US70450Y1038,,13403000.5,,,,,,,,,,,,
US64110L1061,,13119325.37,,,,,,,,,,,,
US09857L1089,,8190431.255,,,,,,,,,,,,
US45866F1049,,5050746.2,,,,,,,,,,,,
US00507V1098,,3466391.291,,,,,,,,,,,,
CA82509L1076,,3258731.193,,,,,,,,,,,,
US2786421030,,3250706.398,,,,,,,,,,,,
US58733R1023,,2854041.599,,,,,,,,,,,,
US90184L1026,,2797612.446,,,,,,,,,,,,
US87236Y1082,,2638268.48,,,,,,,,,,,,
US8522341036,,2578257.158,,,,,,,,,,,,
US2855121099,,2568783.232,,,,,,,,,,,,
US37940X1028,,2562083.711,,,,,,,,,,,,
US8919061098,,2306780.286,,,,,,,,,,,,
US22160N1090,,2083295.67,,,,,,,,,,,,
US44919P5089,,1865624.653,,,,,,,,,,,,
US30212P3038,,1620675.099,,,,,,,,,,,,
US2172041061,,1583500.5,,,,,,,,,,,,
LU1778762911,,1533560.471,,,,,,,,,,,,
US57060D1081,,1335752.959,,,,,,,,,,,,
US8740541094,,1312942.475,,,,,,,,,,,,
US2692464017,,1160482.753,,,,,,,,,,,,
NL0009805522,,1105897.508,,,,,,,,,,,,
US83304A1060,,1042229.998,,,,,,,,,,,,
US94419L1017,,886694.2916,,,,,,,,,,,,
US88339J1051,,883974.1458,,,,,,,,,,,,
US2987361092,,823772.2499,,,,,,,,,,,,
US29786A1060,,806619.9399,,,,,,,,,,,,
KYG687071012,,752965.425,,,,,,,,,,,,
US4001101025,,663429.5913,,,,,,,,,,,,
US78573M1045,,639195.7401,,,,,,,,,,,,
US98954M2008,,586609.4866,,,,,,,,,,,,
US98986T1088,,538771.5258,,,,,,,,,,,,
US74915M1009,,525501.3453,,,,,,,,,,,,
US8969452015,,483392.5499,,,,,,,,,,,,
US1630921096,,457885.5471,,,,,,,,,,,,
US57665R1068,,414635.359,,,,,,,,,,,,
US0044981019,,362086.7621,,,,,,,,,,,,
KY30744W1070,,274649.8126,,,,,,,,,,,,
US1417881091,,262882.6341,,,,,,,,,,,,
US9858171054,,251205.1885,,,,,,,,,,,,
KYG814771047,,239771.0211,,,,,,,,,,,,
US8926721064,,224429.6302,,,,,,,,,,,,
US5381461012,,190363.7869,,,,,,,,,,,,
US1013881065,,177680.9143,,,,,,,,,,,,
US3994731079,,162943.436,,,,,,,,,,,,
MU0295S00016,,155174.7816,,,,,,,,,,,,
