ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name
US00123Q3020,,177.24,,,,,,,,,,,,,AGNC Investment Corp.
US00123Q5009,,335.66,,,,,,,,,,,,,AGNC Investment Corp.
US0103924629,,263,,,,,,,,,,,,,Alabama Power Co.
US0200024083,,295.9433,,,,,,,,,,,,,The Allstate Corp.
US0200028795,,761.553,,,,,,,,,,,,,The Allstate Corp.
US0200021279,,592.48,,,,,,,,,,,,,The Allstate Corp.
US02665T8018,,241.224,,,,,,,,,,,,,American Homes 4 Rent
US02665T8687,,116.794,,,,,,,,,,,,,American Homes 4 Rent
US0357107061,,179.34,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108051,,467.36,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108622,,415.31,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108705,,741.6,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US03762U5011,,176.709,,,,,,,,,,,,,"Apollo Commercial Real Estate Finance, Inc."
US0376124055,,276.21,,,,,,,,,,,,,Apollo Global Management LLC
US0376125045,,301.2,,,,,,,,,,,,,Apollo Global Management LLC
US03939A2069,,427.32,,,,,,,,,,,,,Arch Capital Group Ltd.
US03939A1079,,326.304,,,,,,,,,,,,,Arch Capital Group Ltd.
US03990B2007,,327.36,,,,,,,,,,,,,Ares Management Corp.
US0441038850,,125.226,,,,,,,,,,,,,"Ashford Hospitality Trust, Inc."
BMG0692U1172,,223.1091,,,,,,,,,,,,,AXIS Capital Holdings Ltd.
US05461T3059,,542.96,,,,,,,,,,,,,AXIS Capital Holdings Ltd.
US0605052606,,939.24,,,,,,,,,,,,,Bank of America Corp.
US0605052861,,1160.72,,,,,,,,,,,,,Bank of America Corp.
US0605052291,,1438.02,,,,,,,,,,,,,Bank of America Corp.
US0605058157,,287.19733,,,,,,,,,,,,,Bank of America Corp.
US0605055831,,528.41268,,,,,,,,,,,,,Bank of America Corp.
US0605051954,,898.0664,,,,,,,,,,,,,Bank of America Corp.
US0605053448,,1134.76,,,,,,,,,,,,,Bank of America Corp.
US0605053109,,1127.28,,,,,,,,,,,,,Bank of America Corp.
US0640582096,,572.0896,,,,,,,,,,,,,The Bank of New York Mellon Corp.
US0549372060,,585.81,,,,,,,,,,,,,BB&T Corp.
US0549378000,,499.2,,,,,,,,,,,,,BB&T Corp.
US0549378752,,488.12166,,,,,,,,,,,,,BB&T Corp.
US0549374041,,1162.88,,,,,,,,,,,,,BB&T Corp.
US0549376020,,450.36,,,,,,,,,,,,,BB&T Corp.
US0758872081,,2860.11,,,,,,,,,,,,,"Becton, Dickinson & Co."
US11282X2027,,251.4,,,,,,,,,,,,,"Brookfield Property REIT, Inc."
US14040H8658,,600.72,,,,,,,,,,,,,Capital One Financial Corp.
US14040H6009,,512,,,,,,,,,,,,,Capital One Financial Corp.
US14040H7098,,522,,,,,,,,,,,,,Capital One Financial Corp.
US14040H8401,,527.8,,,,,,,,,,,,,Capital One Financial Corp.
US14040H8815,,526.2,,,,,,,,,,,,,Capital One Financial Corp.
US14040H4020,,889.7,,,,,,,,,,,,,Capital One Financial Corp.
US14067E6059,,259.2579,,,,,,,,,,,,,Capstead Mortgage Corp.
US14309L2016,,369.6,,,,,,,,,,,,,The Carlyle Group LP
US1248308033,,51.267,,,,,,,,,,,,,"CBL & Associates Properties, Inc."
