ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name
US00123Q3020,,177.24,,,,,,,,,,,,,AGNC Investment Corp.
US00123Q5009,,335.66,,,,,,,,,,,,,AGNC Investment Corp.
US0357107061,,179.34,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108051,,467.36,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108705,,741.6,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US0357108622,,415.31,,,,,,,,,,,,,"Annaly Capital Management, Inc."
US03762U5011,,176.709,,,,,,,,,,,,,"Apollo Commercial Real Estate Finance, Inc."
US03990B2007,,327.36,,,,,,,,,,,,,Ares Management Corp.
US0423154089,,159.225,,,,,,,,,,,,,"ARMOUR Residential REIT, Inc."
US0605053448,,1134.76,,,,,,,,,,,,,Bank of America Corp.
US0605053109,,1127.28,,,,,,,,,,,,,Bank of America Corp.
US0605052606,,939.24,,,,,,,,,,,,,Bank of America Corp.
US14040H7098,,522,,,,,,,,,,,,,Capital One Financial Corp.
US14040H6009,,512,,,,,,,,,,,,,Capital One Financial Corp.
US14040H4020,,889.7,,,,,,,,,,,,,Capital One Financial Corp.
US14067E6059,,259.2579,,,,,,,,,,,,,Capstead Mortgage Corp.
US16934Q4064,,332.28,,,,,,,,,,,,,Chimera Investment Corp.
US16934Q3074,,149.408,,,,,,,,,,,,,Chimera Investment Corp.
US12542R3084,,592.2684,,,,,,,,,,,,,"CHS, Inc."
US1729673582,,1056.78,,,,,,,,,,,,,"Citigroup, Inc."
US1729673418,,1659.45,,,,,,,,,,,,,"Citigroup, Inc."
US19626G3065,,252.2,,,,,,,,,,,,,"Colony Capital, Inc."
US19626G2075,,151.87176,,,,,,,,,,,,,"Colony Capital, Inc."
US21870U3041,,131.716,,,,,,,,,,,,,"CorEnergy Infrastructure Trust, Inc."
MHY2745C1104,,138.828,,,,,,,,,,,,,Golar LNG Partners LP
MHY3262R1181,,161.1927,,,,,,,,,,,,,Höegh LNG Partners LP
US4042806046,,1357.2,,,,,,,,,,,,,HSBC Holdings Plc
US46131B5066,,287.615,,,,,,,,,,,,,"Invesco Mortgage Capital, Inc."
US4812467003,,927.52,,,,,,,,,,,,,JPMorgan Chase & Co.
US48127R4618,,1486.056,,,,,,,,,,,,,JPMorgan Chase & Co.
US55272X4097,,201.28,,,,,,,,,,,,,"MFA Financial, Inc."
US61762V5075,,512,,,,,,,,,,,,,Morgan Stanley
US61763E2072,,943.16,,,,,,,,,,,,,Morgan Stanley
US61762V2007,,969.105,,,,,,,,,,,,,Morgan Stanley & Co. LLC
US6496048819,,129.735,,,,,,,,,,,,,"New York Mortgage Trust, Inc."
US62913M2061,,200.8566,,,,,,,,,,,,,NGL Energy Partners LP
US67058H4092,,169.257,,,,,,,,,,,,,NuStar Energy LP
US70931T4004,,198.666,,,,,,,,,,,,,PennyMac Mortgage Investment Trust
US74460W8266,,290.72115,,,,,,,,,,,,,Public Storage
US7591EP3084,,508.6,,,,,,,,,,,,,Regions Financial Corp.
US74965L2007,,327.5052426,,,,,,,,,,,,,RLJ Lodging Trust
MHY8564M1131,,127.5,,,,,,,,,,,,,Teekay LNG Partners LP
MHY8564M2048,,164.53144,,,,,,,,,,,,,Teekay LNG Partners LP
US0200028795,,761.553,,,,,,,,,,,,,The Allstate Corp.
US90187B5075,,285.796,,,,,,,,,,,,,Two Harbors Investment Corp.
US90187B3096,,288.88,,,,,,,,,,,,,Two Harbors Investment Corp.
US90187B2007,,153.295,,,,,,,,,,,,,Two Harbors Investment Corp.
US9029738336,,1181.4,,,,,,,,,,,,,U.S. Bancorp
US92339V2097,,1084.98522,,,,,,,,,,,,,"VEREIT, Inc."
US9497463664,,817.6,,,,,,,,,,,,,Wells Fargo & Co.
