ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap,Excess Weight,Total Weight
US00123Q3020,,177.24,,,,,,,,,,,,,AGNC Investment Corp.,0.1686951724866037,0,0,0
US00123Q5009,,335.66,,,,,,,,,,,,,AGNC Investment Corp.,0.31947766642323067,0,0,0
US0103924629,,263.0,,,,,,,,,,,,,Alabama Power Co.,0.25032064073559457,0,0,0
US0200024083,,295.9433,,,,,,,,,,,,,The Allstate Corp.,0.28167572805097446,0,0,0
US0200028795,,761.553,,,,,,,,,,,,,The Allstate Corp.,0.7248381555669742,0,0,0
US0200021279,,592.48,,,,,,,,,,,,,The Allstate Corp.,0.5639162479962929,0,0,0
US02665T8018,,241.22400000000002,,,,,,,,,,,,,American Homes 4 Rent,0.2295944723984907,0,0,0
US02665T8687,,116.794,,,,,,,,,,,,,American Homes 4 Rent,0.11116330385579098,0,0,0
US0357107061,,179.34,,,,,,,,,,,,,"Annaly Capital Management, Inc.",0.17069393045445444,0,0,0
US0357108051,,467.36,,,,,,,,,,,,,"Annaly Capital Management, Inc.",0.444828344692728,0,0,0
US0357108622,,415.31,,,,,,,,,,,,,"Annaly Capital Management, Inc.",0.39528770077528425,0,0,0
US0357108705,,741.6,,,,,,,,,,,,,"Annaly Capital Management, Inc.",0.7058470995038666,0,0,0
US03762U5011,,176.709,,,,,,,,,,,,,"Apollo Commercial Real Estate Finance, Inc.",0.16818977225759002,0,0,0
US0376124055,,276.21,,,,,,,,,,,,,Apollo Global Management LLC,0.2628937801428843,0,0,0
US0376125045,,301.2,,,,,,,,,,,,,Apollo Global Management LLC,0.2866789999603082,0,0,0
US03939A2069,,427.32,,,,,,,,,,,,,Arch Capital Group Ltd.,0.4067186927723736,0,0,0
US03939A1079,,326.30400000000003,,,,,,,,,,,,,Arch Capital Group Ltd.,0.3105727237817013,0,0,0
US03990B2007,,327.36,,,,,,,,,,,,,Ares Management Corp.,0.31157781350267766,0,0,0
US0441038850,,125.226,,,,,,,,,,,,,"Ashford Hospitality Trust, Inc.",0.11918879299146601,0,0,0
BMG0692U1172,,223.1091,,,,,,,,,,,,,AXIS Capital Holdings Ltd.,0.21235290063095755,0,0,0
US05461T3059,,542.96,,,,,,,,,,,,,AXIS Capital Holdings Ltd.,0.5167836315353552,0,0,0
US0605052606,,939.24,,,,,,,,,,,,,Bank of America Corp.,0.8939587779638776,0,0,0
US0605052861,,1160.72,,,,,,,,,,,,,Bank of America Corp.,1.1047611183065373,0,0,0
US0605052291,,1438.02,,,,,,,,,,,,,Bank of America Corp.,1.3686923490136869,0,0,0
US0605058157,,287.19732999999997,,,,,,,,,,,,,Bank of America Corp.,0.2733514055633155,0,0,0
US0605055831,,528.41268,,,,,,,,,,,,,Bank of America Corp.,0.5029376449825578,0,0,0
US0605051954,,898.0664,,,,,,,,,,,,,Bank of America Corp.,0.8547701774566872,0,0,0
US0605053448,,1134.76,,,,,,,,,,,,,Bank of America Corp.,1.0800526626658677,0,0,0
