ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Weight,Cap,Flag1,Flag2
US00123Q3020,,177.24,,,,,,,,,,,,,AGNC Investment Corp.,0.6934494628682706,0,0.0,0.0
US00123Q5009,,335.66,,,,,,,,,,,,,AGNC Investment Corp.,1.313265892046737,0,0.0,0.0
US0357107061,,179.34,,,,,,,,,,,,,"Annaly Capital Management, Inc.",0.7016656887316386,0,0.0,0.0
US0357108051,,467.36,,,,,,,,,,,,,"Annaly Capital Management, Inc.",1.82854062833511,0,0.0,0.0
US0357108705,,741.6,,,,,,,,,,,,,"Annaly Capital Management, Inc.",2.9015014763208606,0,0.0,0.0
US0357108622,,415.31,,,,,,,,,,,,,"Annaly Capital Management, Inc.",1.624895601578771,0,0.0,0.0
US03762U5011,,176.709,,,,,,,,,,,,,"Apollo Commercial Real Estate Finance, Inc.",0.6913719314713903,0,0.0,0.0
US03990B2007,,327.36,,,,,,,,,,,,,Ares Management Corp.,1.2807922374439011,0,0.0,0.0
US0423154089,,159.225,,,,,,,,,,,,,"ARMOUR Residential REIT, Inc.",0.6229659824260909,0,0.0,0.0
US0605053448,,1134.76,,,,,,,,,,,,,Bank of America Corp.,3.5447071171531386,1,2.1422252135406445,12.142225213540645
US0605053109,,1127.28,,,,,,,,,,,,,Bank of America Corp.,3.5213414634146334,1,2.1422252135406445,12.142225213540645
US0605052606,,939.24,,,,,,,,,,,,,Bank of America Corp.,2.933951419432227,1,2.1422252135406445,12.142225213540645
US14040H7098,,522.0,,,,,,,,,,,,,Capital One Financial Corp.,2.042319000322936,0,0.0,0.0
US14040H6009,,512.0,,,,,,,,,,,,,Capital One Financial Corp.,2.0031941152592783,0,0.0,0.0
US14040H4020,,889.7,,,,,,,,,,,,,Capital One Financial Corp.,3.4809410241136325,0,0.0,0.0
US14067E6059,,259.2579,,,,,,,,,,,,,Capstead Mortgage Corp.,1.0143435539345282,0,0.0,0.0
US16934Q4064,,332.28,,,,,,,,,,,,,Chimera Investment Corp.,1.3000416808952204,0,0.0,0.0
US16934Q3074,,149.408,,,,,,,,,,,,,Chimera Investment Corp.,0.5845570827590981,0,0.0,0.0
US12542R3084,,592.2684,,,,,,,,,,,,,"CHS, Inc.",2.317243307683649,0,0.0,0.0
US1729673582,,1056.78,,,,,,,,,,,,,"Citigroup, Inc.",3.890613092411173,2,0.30246538627533326,10.302465386275333
