ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC)
US03027X1000,,9580895.68,,,,,,,,,,,,,,0.158160302,,,
US74340W1036,,5169961.524,,,,,,,,,,,,,,0.247502805,,,
US22822V1017,,5668315.542,,,,,,,,,,,,,,0.222314496,,,
US2538681030,,2599178.362,,,,,,,,,,,,,,0.325233519,,,
US29444U7000,,4251745.057,,,,,,,,,,,,,,0.154523882,,,
US46187W1071,,949745.8296,,,,,,,,,,,,,,0.564471392,,,
US0152711091,,1677152.561,,,,,,,,,,,,,,0.230013274,,,
US03064D1081,,636544.1893,,,,,,,,,,,,,,0.564471392,,,
US7561091049,,2314140.19,,,,,,,,,,,,,,0.102451833,,,
US78573L1061,,354589.5477,,,,,,,,,,,,,,0.564471392,,,
US8666741041,,1141782.91,,,,,,,,,,,,,,0.168902497,,,
US8621211007,,798310.6748,,,,,,,,,,,,,,0.234555357,,,
US76169C1009,,421979.1532,,,,,,,,,,,,,,0.409949925,,,
US92936U1097,,1446504.495,,,,,,,,,,,,,,0.10752052,,,
US26884U1097,,586339.8296,,,,,,,,,,,,,,0.264693837,,,
US46284V1017,,914986.3012,,,,,,,,,,,,,,0.161864971,,,
US1982872038,,260241.6012,,,,,,,,,,,,,,0.564471392,,,
US23283R1005,,680759.9432,,,,,,,,,,,,,,0.191466475,,,
US21870Q1058,,435941.9614,,,,,,,,,,,,,,0.265932213,,,
US29472R1086,,1056032.775,,,,,,,,,,,,,,0.095189191,,,
US88146M1018,,299745.6283,,,,,,,,,,,,,,0.311451084,,,
US6374171063,,891024.5802,,,,,,,,,,,,,,0.104512732,,,
US1331311027,,1027326.437,,,,,,,,,,,,,,0.090093901,,,
US2644115055,,1163014.004,,,,,,,,,,,,,,0.073802608,,,
US02665T3068,,653442.9917,,,,,,,,,,,,,,0.125471616,,,
US42225P5017,,594620.3553,,,,,,,,,,,,,,0.127312829,,,
US85254J1025,,395823.2871,,,,,,,,,,,,,,0.186681743,,,
US45781V1017,,124546.115,,,,,,,,,,,,,,0.564471392,,,
US5128161099,,716657.6891,,,,,,,,,,,,,,0.097063161,,,
US0084921008,,254375.5127,,,,,,,,,,,,,,0.224443447,,,
US71943U1043,,338747.9086,,,,,,,,,,,,,,0.160511014,,,
US55303A1051,,287805.5256,,,,,,,,,,,,,,0.181789937,,,
US74965L1017,,310857.6618,,,,,,,,,,,,,,0.166862747,,,
US25960P1093,,674309.9027,,,,,,,,,,,,,,0.073831507,,,
US14174T1079,,235419.6427,,,,,,,,,,,,,,0.19990546,,,
US0389231087,,103564.5614,,,,,,,,,,,,,,0.347818312,,,
US6097201072,,125037.7014,,,,,,,,,,,,,,0.245890767,,,
US69007J1060,,372952.3496,,,,,,,,,,,,,,0.079610951,,,
US63633D1046,,337326.4523,,,,,,,,,,,,,,0.084521817,,,
US9840171030,,242258.2402,,,,,,,,,,,,,,0.115561556,,,
US74039L1035,,65110.50426,,,,,,,,,,,,,,0.418288398,,,
US20369C1062,,70156.69019,,,,,,,,,,,,,,0.351324874,,,
US35086T1097,,194888.1096,,,,,,,,,,,,,,0.118575064,,,
US27616P1030,,125236.4145,,,,,,,,,,,,,,0.179011107,,,
US67623C1099,,126461.5757,,,,,,,,,,,,,,0.154063753,,,
US65341D1028,,87292.16958,,,,,,,,,,,,,,0.172006212,,,
US1652401027,,170847.243,,,,,,,,,,,,,,0.082584007,,,
US3742971092,,106734.1491,,,,,,,,,,,,,,0.123613619,,,
US9030021037,,46598.18191,,,,,,,,,,,,,,0.265112089,,,
US04208T1088,,89319.79107,,,,,,,,,,,,,,0.105508322,,,
