ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US8718291078,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US9307521008,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US9120081099,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US4052171000,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US5797802064,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
VGG6564A1057,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US9490901041,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US4001101025,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US9111631035,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US5132721045,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US4778391049,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US89469A1043,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US71377A1034,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US85208M1027,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US68243Q1067,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US0394831020,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US25754A2015,,,,,,,,Pure-Play,,,,,,,,1.3157894736842106
US3703341046,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US2058871029,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US05508R1068,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US0231351067,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US8326964058,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US5010441013,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US9024941034,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US4878361082,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US6988131024,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US98850P1093,,,,,,,,Quasi-Play,,,,,,,,1.3157894736842106
US8552441094,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US9741551033,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US09180C1062,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US1630721017,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US5962781010,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US1475281036,,,,,,,,Marginal,,,,,,,,1.3157894736842106
KYG367381053,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US3434981011,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US22410J1060,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US1696561059,,,,,,,,Marginal,,,,,,,,1.3157894736842106
US24869P1049,,,,,,,,Marginal,,,,,,,,1.3157894736842106
