ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US81721M1099,,,,,,,,,,,,15.96%,,,
US78573L1061,,,,,,,,,,,,9.14%,,,
US6486911034,,,,,,,,,,,,7.74%,,,
US37954A2042,,,,,,,,,,,,7.62%,,,
US6819361006,,,,,,,,,,,,7.18%,,,
CA6674951059,,,,,,,,,,,,6.70%,,,
US92276F1003,,,,,,,,,,,,5.79%,,,
US58463J3041,,,,,,,,,,,,5.73%,,,
CA30224T8639,,,,,,,,,,,,5.65%,,,
US71943U1043,,,,,,,,,,,,5.28%,,,
US63633D1046,,,,,,,,,,,,5.25%,,,
US5021751020,,,,,,,,,,,,4.99%,,,
CA82621K1021,,,,,,,,,,,,4.65%,,,
US40414L1098,,,,,,,,,,,,4.63%,,,
US42225P5017,,,,,,,,,,,,4.50%,,,
GB00BVGBWW93,,,,,,,,,,,,4.31%,,,
US95040Q1040,,,,,,,,,,,,4.27%,,,
BE0003851681,,,,,,,,,,,,4.25%,,,
GB00BYRJ5J14,,,,,,,,,,,,4.23%,,,
US20369C1062,,,,,,,,,,,,4.12%,,,
CA16141A1030,,,,,,,,,,,,3.84%,,,
US4219461047,,,,,,,,,,,,3.83%,,,
US14174T1079,,,,,,,,,,,,3.62%,,,
US91359E1055,,,,,,,,,,,,3.18%,,,
