ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US0079031078,,14530.47,,,,,,Pure Play,,,,,,,,0.049
US2521311074,,8366.31,,,,,,Pure Play ,,,,,,,,0.0018331065804332773
DK0010272632,,6638.72,,,,,,Pure Play,,,,,,,,0.049
US2328061096,,5585.31,,,,,,Pure Play ,,,,,,,,0.001223773505256175
AT0000A18XM4,,6272.72,,,,,,Pure Play ,,,,,,,,0.0013743889850143527
US45784P1012,,5034.36,,,,,,Pure Play ,,,,,,,,0.0011030571953788556
TW0003481008,,3574.3,,,,,,Pure Play ,,,,,,,,0.0007831496622098229
US7274931085,,2545.68,,,,,,Pure Play,,,,,,,,0.049
IT0004056880,,4693.39,,,,,,Pure Play ,,,,,,,,0.0010283487097107018
US4500561067,,1914.67,,,,,,Pure Play ,,,,,,,,0.0004195151956308317
US0906721065,,1475.73,,,,,,Pure Play ,,,,,,,,0.0003233409201837848
US33812L1026,,1575.75,,,,,,Pure Play ,,,,,,,,0.00034525587673869807
JP3311530004,,2520.04,,,,,,Pure Play ,,,,,,,,0.0005521552401184126
US34988V1061,,1323.05,,,,,,Pure Play ,,,,,,,,0.0002898878551287542
US38268T1034,,953.91,,,,,,Pure Play ,,,,,,,,0.00020900716064084496
KYG898431096,,858.98,,,,,,Pure Play ,,,,,,,,0.000188207452324929
US44331K1034,,592.45,,,,,,Pure Play ,,,,,,,,0.00012980919826992968
US0378331005,,909841.23,,,,,,Quasi Play,,,,,,,,0.02
US5949181045,,757640.18,,,,,,Quasi Play,,,,,,,,0.02
US02079K3059,,779496.51,,,,,,Quasi Play,,,,,,,,0.02
US4581401001,,231648.6,,,,,,Quasi Play,,,,,,,,0.02
KR7005930003,,299222.2,,,,,,Quasi Play,,,,,,,,0.02
US3696041033,,118207.45,,,,,,Quasi Play,,,,,,,,0.02
IE00BTN1Y115,,115719.81,,,,,,Quasi Play,,,,,,,,0.02
US8825081040,,107925.71,,,,,,Quasi Play,,,,,,,,0.02
US4385161066,,107595.27,,,,,,Quasi Play,,,,,,,,0.02
US6541061031,,128419.78,,,,,,Quasi Play,,,,,,,,0.02
US79466L3024,,101271.13,,,,,,Quasi Play,,,,,,,,0.02
US7475251036,,83204.74,,,,,,Quasi Play,,,,,,,,0.007937844115633102
JP3435000009,,64862.08,,,,,,Quasi Play,,,,,,,,0.0061879296787144995
US3695501086,,55369.92,,,,,,Quasi Play,,,,,,,,0.0052823648467031515
US1011371077,,45119.82,,,,,,Quasi Play,,,,,,,,0.004304491519178171
US0326541051,,35576.44,,,,,,Quasi Play,,,,,,,,0.003394040230270224
FI0009000681,,32415.07,,,,,,Quasi Play,,,,,,,,0.0030924412798758226
JP3914400001,,37868.95,,,,,,Quasi Play,,,,,,,,0.00361274876795125
DE0006231004,,28971.31,,,,,,Quasi Play,,,,,,,,0.002763901943635452
SE0000108656,,25790.79,,,,,,Quasi Play,,,,,,,,0.00246047605748217
