ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC)
DE000A2AADD2,,21838.34205,,,,,,Common stock,,,4.447219604,,,,,,,,
DK0060094928,,18952.87685,,,,,,Common stock,,,1.890973554,,,,,,,,
AU000000AGL7,,12831.08852,,,,,,Common stock,,,3.0199761,,,,,,,,
US29274F1049,,11000.095,,,,,,Common stock,,,2.268695652,,,,,,,,
BREGIEACNOR9,,6682.566419,,,,,,Common stock,,,6.801682236,,,,,,,,
US29244T1016,,6189.591484,,,,,,Common stock,,,5.035441696,,,,,,,,
NZMELE0002S7,,5465.338124,,,,,,Common stock,,,6.995609898,,,,,,,,
US7821834048,,5456.49664,,,,,,Common stock,,,3.3409375,,,,,,,,
BMG162581083,,5315.227459,,,,,,Common stock,,,5.734454717,,,,,,,,
US4511071064,,4300.87185,,,,,,Common stock,,,2.530755712,,,,,,,,
US4198701009,,3521.325,,,,,,Common stock,,,3.829524398,,,,,,,,
IT0001207098,,3223.244907,,,,,,Common stock,,,4.574902049,,,,,,,,
CA6665111002,,3072.543719,,,,,,Common stock,,,4.567410113,,,,,,,,
US6680743050,,2956.1139,,,,,,Common stock,,,3.359554245,,,,,,,,
CA0158571053,,2880.56092,,,,,,Common stock,,,4.231962245,,,,,,,,
US05379B1070,,2733.91448,,,,,,Common stock,,,3.297220914,,,,,,,,
CA8934631091,,2702.594997,,,,,,Common stock,,,5.496899482,,,,,,,,
CNE100000HD4,,2430.21659,,,,,,Common stock,,,1.718640033,,,,,,,,
GB00BLP5YB54,,2140.63512,,,,,,Common stock,,,4.461610487,,,,,,,,
IT0001157020,,2110.518655,,,,,,Common stock,,,4.005826709,,,,,,,,
US70338P1003,,2088.78928,,,,,,Common stock,,,6.878145973,,,,,,,,
US65341B1061,,2006.22663,,,,,,Common stock,,,3.754393079,,,,,,,,
CNE100000WS1,,1553.234019,,,,,,Common stock,,,1.952097554,,,,,,,,
CA09950M3003,,1282.969855,,,,,,Common stock,,,2.589638248,,,,,,,,
CA45790B1040,,1190.738002,,,,,,Common stock,,,4.445687792,,,,,,,,
US41068X1000,,1181.34985,,,,,,Common stock,,,5.509400962,,,,,,,,
ES0105058004,,921.2144161,,,,,,Common stock,,,7.26179037,,,,,,,,
US3932221043,,822.2055,,,,,,Common stock,,,2.335766423,,,,,,,,
US62942X3061,,590.03716,,,,,,Common stock,,,5.978898007,,,,,,,,
US2825391053,,424.86553,,,,,,Common stock,,,4.931262393,,,,,,,,
