ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
ES0127797019,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
NZMELE0002S7,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
GB00BLP5YB54,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CA09950M3003,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
KYG2112D1051,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CNE100000HD4,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
IT0003198790,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US3364331070,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
KYG3774X1088,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CNE100000WS1,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CA45790B1040,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
DE000A0D6554,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CA6665111002,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US6866881021,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
DK0060094928,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US70338P1003,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
ES0143416115,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US8676524064,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US86771W1053,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CA8934631091,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
DK0010268606,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
KYG9829N1025,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
CH0108503795,,,Climate Change-Infrastructure provider,,,,,,,,,,,,1.639344262295082
US00508Y1029,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
CA0585861085,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
US2254471012,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
US29275Y1029,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
JP3385820000,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
SE0006425815,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
KR7006400006,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
US88160R1014,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
US87266J1043,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
DE000A0TGJ55,,,Energy Efficient Solutions,,,,,,,,,,,,-5.8360655737704965
US4657411066,,,Smart Grid,,,,,,,,,,,,-5.8360655737704965
CA1366351098,,,Smart Grid,,,,,,,,,,,,-5.8360655737704965
US29355A1079,,,Smart Grid,,,,,,,,,,,,-5.8360655737704965
DE000A0DJ6J9,,,Smart Grid,,,,,,,,,,,,-5.8360655737704965
US83417M1045,,,Smart Grid,,,,,,,,,,,,-5.8360655737704965
US00790X1019,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
BMG0957L1090,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
AU000000BIN7,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US1474481041,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
KYG2116J1085,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
HK0257001336,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
AU000000CWY3,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US22282E1029,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
JP3485600005,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
FR0000053381,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US30057T1051,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
FR0000124141,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
KR7029960002,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
JP3270000007,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
GB00B18V8630,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US7607591002,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
GB00B1FH8J72,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
FR0010613471,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
TW0008341009,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
JP3462600002,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US91732J1025,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
CA94106B1013,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
US94106L1098,,,Waste Management,,,,,,,,,,,,-5.8360655737704965
