ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US74340W1036,,"4,570,459.437944400000000",,,,,,Pure Play,,,,,,,
US74460D1090,,"3,187,980.958219510000000",,,,,,Pure Play,,,,,,,
US98980A1051,,"1,440,454.582814640000000",,,,,,Pure Play,,,,,,,
US30225T1025,,"1,224,089.649226660000000",,,,,,Pure Play,,,,,,,
US2644115055,,"1,065,621.862846120000000",,,,,,Pure Play,,,,,,,
US5311721048,,"701,001.095769325000000",,,,,,Pure Play,,,,,,,
US2296631094,,"571,057.033264320000000",,,,,,Pure Play,,,,,,,
US03064D1081,,"452,156.024861632000000",,,,,,Pure Play,,,,,,,
US32054K1034,,"430,751.464365300000000",,,,,,Pure Play,,,,,,,
US53223X1072,,"422,674.286869512000000",,,,,,Pure Play,,,,,,,
US2772761019,,"392,951.007453840000000",,,,,,Pure Play,,,,,,,
US76169C1009,,"368,313.497552385000000",,,,,,Pure Play,,,,,,,
US85254J1025,,"357,027.290065368000000",,,,,,Pure Play,,,,,,,
US88146M1018,,"259,190.715574800000000",,,,,,Pure Play,,,,,,,
US6378701063,,"154,909.954382988000000",,,,,,Pure Play,,,,,,,
US4562371066,,"127,218.219755400000000",,,,,,Pure Play,,,,,,,
US6097201072,,"113,883.167739403000000",,,,,,Pure Play,,,,,,,
US08653C1062,,"16,300.986713702000000",,,,,,Pure Play,,,,,,,
US0231351067,,"77,869,615.949445600000000",,,,,,Marginal Play,,,,,,,
US01609W1027,,"47,817,433.715692400000000",,,,,,Marginal Play,,,,,,,
US9311421039,,"14,384,279.183856700000000",,,,,,Marginal Play,,,,,,,
US9113121068,,"7,913,944.118135720000000",,,,,,Marginal Play,,,,,,,
US31428X1063,,"4,711,547.769996200000000",,,,,,Marginal Play,,,,,,,
US87612E1064,,"4,221,513.022667180000000",,,,,,Marginal Play,,,,,,,
US47215P1066,,"3,584,182.939237770000000",,,,,,Marginal Play,,,,,,,
US92936U1097,,"1,279,418.323989060000000",,,,,,Marginal Play,,,,,,,
US94419L1017,,"897,477.507577346000000",,,,,,Marginal Play,,,,,,,
US4456581077,,"849,035.381419086000000",,,,,,Marginal Play,,,,,,,
US9837931008,,"712,951.206782005000000",,,,,,Marginal Play,,,,,,,
US92763W1036,,"446,376.422451520000000",,,,,,Marginal Play,,,,,,,
US0025353006,,"347,359.630515856000000",,,,,,Marginal Play,,,,,,,
US7835491082,,"346,655.549538375000000",,,,,,Marginal Play,,,,,,,
US69360J1079,,"289,450.103416320000000",,,,,,Marginal Play,,,,,,,
US05550J1016,,"258,890.667133628000000",,,,,,Marginal Play,,,,,,,
US19626G1085,,"230,779.083923752000000",,,,,,Marginal Play,,,,,,,
US11282X1037,,"209,655.265104138000000",,,,,,Marginal Play,,,,,,,
US5290431015,,"202,855.245460273000000",,,,,,Marginal Play,,,,,,,
US63845R1077,,"193,521.685409720000000",,,,,,Marginal Play,,,,,,,
US3498531017,,"191,064.097080300000000",,,,,,Marginal Play,,,,,,,
US78709Y1055,,"175,276.665732435000000",,,,,,Marginal Play,,,,,,,
US9507551086,,"158,659.612500480000000",,,,,,Marginal Play,,,,,,,
US3793782018,,"153,013.810046571000000",,,,,,Marginal Play,,,,,,,
US0893021032,,"148,340.050384372000000",,,,,,Marginal Play,,,,,,,
US80689H1023,,"108,930.054722940000000",,,,,,Marginal Play,,,,,,,
US03937C1053,,"81,001.008146672000000",,,,,,Marginal Play,,,,,,,
US3765361080,,"61,307.740555488000000",,,,,,Marginal Play,,,,,,,
US13462K1097,,"42,425.690133800000000",,,,,,Marginal Play,,,,,,,
