ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US24906P1093,,"4,570,459.437944400000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US2521311074,,"3,187,980.958219510000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US45784P1012,,"1,440,454.582814640000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US46120E6023,,"1,224,089.649226660000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US92220P1057,,"1,065,621.862846120000000",,,,,,Pure play,LARGE CAP,,,,,,,
DE0005313704,,"701,001.095769325000000",,,,,,Pure play,LARGE CAP,,,,,,,
US0162551016,,"571,057.033264320000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US1011371077,,"452,156.024861632000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US8636671013,,"430,751.464365300000000",,,,,,Pure Play,LARGE CAP,,,,,,,4.0
US5747951003,,"422,674.286869512000000",,,,,,Pure Play,MID CAP,,,,,,,4.0
US6323071042,,"392,951.007453840000000",,,,,,Pure Play,MID CAP,,,,,,,4.0
US87918A1051,,"368,313.497552385000000",,,,,,Pure Play,MID CAP,,,,,,,4.0
US6707041058,,"357,027.290065368000000",,,,,,Pure Play,MID CAP,,,,,,,4.0
KR7214150005,,"259,190.715574800000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US2321091082,,"154,909.954382988000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
JP3311530004,,"127,218.219755400000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US4577301090,,"113,883.167739403000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US46121H1095,,"16,300.986713702000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US4500561067,,"77,869,615.949445600000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US92672L1070,,"47,817,433.715692400000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US0906721065,,"14,384,279.183856700000000",,,,,,Pure play,SMALL CAP,,,,,,,
IL0011267213,,"7,913,944.118135720000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
US68752L1008,,"4,711,547.769996200000000",,,,,,Pure play,SMALL CAP,,,,,,,
US05465P1012,,"4,221,513.022667180000000",,,,,,Pure play,SMALL CAP,,,,,,,
US20717E1010,,"3,584,182.939237770000000",,,,,,Pure play,SMALL CAP,,,,,,,
US0043971052,,"1,279,418.323989060000000",,,,,,Pure Play,SMALL CAP,,,,,,,4.0
IE00BTN1Y115,,"897,477.507577346000000",,,,,,Quasi Play,LARGE CAP,,,,,,,1.8181818181818181
US4364401012,,"849,035.381419086000000",,,,,,Quasi Play,LARGE CAP,,,,,,,1.8181818181818181
JP3837800006,,"712,951.206782005000000",,,,,,Quasi Play,LARGE CAP,,,,,,,1.8181818181818181
US1380063099,,"446,376.422451520000000",,,,,,Quasi Play,LARGE CAP,,,,,,,1.8181818181818181
DK0060946788,,"347,359.630515856000000",,,,,,Quasi Play,MID CAP,,,,,,,1.8181818181818181
JP3706800004,,"346,655.549538375000000",,,,,,Quasi Play,MID CAP,,,,,,,1.8181818181818181
US2074101013,,"289,450.103416320000000",,,,,,Quasi Play,MID CAP,,,,,,,1.8181818181818181
US4314751029,,"258,890.667133628000000",,,,,,Quasi play,MID CAP,,,,,,,
CH0012100191,,"230,779.083923752000000",,,,,,Quasi play,MID CAP,,,,,,,
US92214X1063,,"209,655.265104138000000",,,,,,Quasi Play,SMALL CAP,,,,,,,1.8181818181818181
TW0004736004,,"202,855.245460273000000",,,,,,Quasi Play,SMALL CAP,,,,,,,1.8181818181818181
US88554D2053,,"193,521.685409720000000",,,,,,Quasi Play,SMALL CAP,,,,,,,1.8181818181818181
BE0003755692,,"191,064.097080300000000",,,,,,Quasi play,SMALL CAP,,,,,,,
JP3630400004,,"175,276.665732435000000",,,,,,Quasi Play,SMALL CAP,,,,,,,1.8181818181818181
US6048711039,,"158,659.612500480000000",,,,,,Quasi play,SMALL CAP,,,,,,,
KYG020141019,,"153,013.810046571000000",,,,,,Quasi play,SMALL CAP,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
