ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US0231351067,,74980947.98,,,,,,,,,,,,,,8.0
US30303M1027,,42748698.27,,,,,,,,,,,,,,8.0
US01609W1027,,40238953.34,,,,,,,,,,,,,,
US02079K3059,,34224062.2,,,,,,,,,,,,,,
KYG875721634,,23703041.44,,,,,,,,,,,,,,
US64110L1061,,15015512.83,,,,,,,,,,,,,,
US70450Y1038,,12252813.35,,,,,,,,,,,,,,
US09857L1089,,7401038.64,,,,,,,,,,,,,,
US45866F1049,,4512182.71,,,,,,,,,,,,,,
US64110W1027,,3329120.76,,,,,,,,,,,,,,
US47215P1066,,3219954.45,,,,,,,,,,,,,,
US00507V1098,,3184379.73,,,,,,,,,,,,,,
US0567521085,,3144138.83,,,,,,,,,,,,,,
DE0007472060,,1963197.21,,,,,,,,,,,,,,
US05278C1071,,1061170.24,,,,,,,,,,,,,,
US22943F1003,,1025904.07,,,,,,,,,,,,,,
JP3435750009,,808319.85,,,,,,,,,,,,,,
JP3967200001,,792643.4,,,,,,,,,,,,,,
JP3933800009,,732096.3,,,,,,,,,,,,,,
GB00B3MBS747,,697192.49,,,,,,,,,,,,,,
JP3758190007,,696271.2,,,,,,,,,,,,,,
GB00BVYVFW23,,661767.04,,,,,,,,,,,,,,
US31680Q1040,,655786.35,,,,,,,,,,,,,,
GB00BGDT3G23,,627437.04,,,,,,,,,,,,,,
FR0000054470,,624751.25,,,,,,,,,,,,,,
US46267X1081,,585132.31,,,,,,,,,,,,,,
US9485961018,,559439.4,,,,,,,,,,,,,,
DE000A2E4K43,,547294.46,,,,,,,,,,,,,,
DE000A12DM80,,510611.08,,,,,,,,,,,,,,
DE000ZAL1111,,478940.09,,,,,,,,,,,,,,
GB00BKX5CN86,,457700.13,,,,,,,,,,,,,,
US60879B1070,,444762.86,,,,,,,,,,,,,,
US92763W1036,,436434.51,,,,,,,,,,,,,,
US3168271043,,411408.37,,,,,,,,,,,,,,
JP3311400000,,409382.51,,,,,,,,,,,,,,
US88034P1093,,406301.85,,,,,,,,,,,,,,
US98426T1060,,406298.66,,,,,,,,,,,,,,
JP3399310006,,318231.65,,,,,,,,,,,,,,
AU000000APT1,,275192.05,,,,,,,,,,,,,,
JP3206000006,,274392.51,,,,,,,,,,,,,,
JP3922950005,,247202.81,,,,,,,,,,,,,,
GB0030927254,,233235.33,,,,,,,,,,,,,,
FR0011981968,,219884.77,,,,,,,,,,,,,,
JP3921290007,,180250.32,,,,,,,,,,,,,,
DE000A12UKK6,,169903.64,,,,,,,,,,,,,,
JP3966750006,,160183.26,,,,,,,,,,,,,,
KYG8918W1069,,138261.41,,,,,,,,,,,,,,
US81141R1005,,127677.87,,,,,,,,,,,,,,
US44852D1081,,125521.3,,,,,,,,,,,,,,
CNE1000004J3,,64360.74,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
