ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US9130171096,,89074.14061,,,,,,,,United States,,,,,,3.035351590226089
US0970231058,,80754.2757,,,,,,,,United States,,,,,,3.035351590226089
US5398301094,,73597.07082000001,,,,,,,,United States,,,,,,3.035351590226089
US3695501086,,46469.56938,,,,,,,,United States,,,,,,3.035351590226089
NL0000235190,,44999.23812,,,,,,,,Netherlands,,,,,,6.63410267850187
US7551115071,,41351.66235,,,,,,,,United States,,,,,,3.035351590226089
US6668071029,,37870.40025,,,,,,,,United States,,,,,,3.035351590226089
FR0000073272,,29112.771739999996,,,,,,,,France,,,,,,6.63410267850187
GB0002634946,,22388.85577,,,,,,,,United Kingdom,,,,,,6.63410267850187
GB00B63H8491,,18543.22475,,,,,,,,United Kingdom,,,,,,6.63410267850187
FR0000121329,,18304.07131,,,,,,,,France,,,,,,6.63410267850187
US8936411003,,15190.64535,,,,,,,,United States,,,,,,2.848536359285754
US0138721065,,13259.03191,,,,,,,,United States,,,,,,2.4863219181510963
US5024131071,,11494.8568,,,,,,,,United States,,,,,,2.155505364331548
US8832031012,,11007.6044,,,,,,,,United States,,,,,,2.064136225919713
US7743411016,,10873.92539,,,,,,,,United States,,,,,,2.0390688563850596
FR0000121725,,9711.652347,,,,,,,,France,,,,,,3.980263789128166
US4464131063,,7728.13913,,,,,,,,United States,,,,,,1.4491738036280315
FR0000125684,,6588.466318,,,,,,,,France,,,,,,2.700244301838781
IT0003856405,,6587.249954,,,,,,,,Italy,,,,,,2.699745782183154
US8485741099,,5913.071,,,,,,,,United States,,,,,,1.108813835782044
DE000A0D9PT0,,5279.53192,,,,,,,,Germany,,,,,,2.163785211196698
US0733021010,,5137.14375,,,,,,,,United States,,,,,,0.9633126452229737
GB0005758098,,4755.070211,,,,,,,,United Kingdom,,,,,,1.9488376539190928
US68557N1037,,4416.9545100000005,,,,,,,,United States,,,,,,0.8282633969231724
CNE1000001Y8,,1731.611033,,,,,,,,China,,,,,,0.7096906319586068
IL0010811243,,4149.148886999999,,,,,,,,Israel,,,,,,1.700504350912957
US4282911084,,4148.31105,,,,,,,,United States,,,,,,0.7778876132837808
US4228061093,,1832.4734399999998,,,,,,,,United States,,,,,,0.34362379615856414
US05605H1005,,4013.53615,,,,,,,,United States,,,,,,0.7526147434271289
US2315611010,,3993.6277,,,,,,,,United States,,,,,,0.7488815285191777
CA1247651088,,3830.3039770000005,,,,,,,,Canada,,,,,,1.5698276334733285
CA0977512007,,3166.904955,,,,,,,,Canada,,,,,,1.2979374328500215
US8793601050,,3713.15098,,,,,,,,United States,,,,,,0.6962867824471675
SE0000112385,,3646.5122340000003,,,,,,,,Sweden,,,,,,1.4945016649083984
GB00B07KD360,,3616.8881060000003,,,,,,,,United Kingdom,,,,,,1.482360389690766
US29082A1079,,3259.897339,,,,,,,,Brazil,,,,,,1.3360498163533538
CA5542821031,,2395.508719,,,,,,,,Canada,,,,,,0.9817852070993721
US2974251009,,2262.0222,,,,,,,,United States,,,,,,0.424172399114798
BMG5326A1062,,2151.024596,,,,,,,,Hong Kong,,,,,,0.8815848223425748
US6153942023,,1919.41662,,,,,,,,United States,,,,,,0.3599273042529011
US4825391034,,1968.0793800000001,,,,,,,,United States,,,,,,0.369052501899833
GB00B0WMWD03,,1739.5673940000001,,,,,,,,United Kingdom,,,,,,0.712951499877887
US25389M8771,,1697.4323100000001,,,,,,,,United States,,,,,,0.31830100308815423
US8968181011,,1578.0258,,,,,,,,United States,,,,,,0.29591000011009994
GB0009123323,,1556.400188,,,,,,,,United Kingdom,,,,,,0.6378814941416551
US05464C1018,,1424.16428,,,,,,,,United States,,,,,,0.26705802417907254
US9508141036,,1354.8601800000001,,,,,,,,United States,,,,,,0.2540621807406254
GB0007958233,,1296.919672,,,,,,,,United Kingdom,,,,,,0.5315349256158436
US2296691064,,1263.7654400000001,,,,,,,,United States,,,,,,0.23698017579277883
