ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US0231351067,,959813.3634,,,,,,,,,United States,,,,,8.0
US02079K3059,,886343.2309999999,,,,,,,,,United States,,,,,8.0
US30303M1027,,549767.5815,,,,,,,,,United States,,,,,7.0
US01609W1027,,481182.3449,,,,,,,,,China,,,,,6.5
KYG875721634,,466098.4756,,,,,,,,,Hong Kong,,,,,6.0
US64110L1061,,163891.9201,,,,,,,,,United States,,,,,5.5
US70450Y1038,,129900.5878,,,,,,,,,United States,,,,,5.0
US09857L1089,,81999.5948,,,,,,,,,United States,,,,,4.5
US0567521085,,58033.92972000001,,,,,,,,,China,,,,,4.5
US45866F1049,,45931.05357,,,,,,,,,United States,,,,,3.964868501090977
US47215P1066,,42155.4252,,,,,,,,,China,,,,,3.6389480435246373
US00507V1098,,36882.75717,,,,,,,,,United States,,,,,3.183799864591706
US64110W1027,,36867.90403,,,,,,,,,China,,,,,3.1825177092229313
US88034P1093,,28473.1941,,,,,,,,,China,,,,,2.4578680791741196
US22943F1003,,23933.085909999998,,,,,,,,,China,,,,,2.0659560598549387
DE0007472060,,18448.149540000002,,,,,,,,,Germany,,,,,1.5924844158666667
JP3967200001,,15881.842630000001,,,,,,,,,Japan,,,,,1.3709552184994849
US46267X1081,,15880.056709999999,,,,,,,,,China,,,,,1.370801053998497
US9485961018,,15116.43699,,,,,,,,,China,,,,,1.3048837379494387
JP3933800009,,13669.333830000001,,,,,,,,,Japan,,,,,1.1799666439365828
US05278C1071,,13223.604379999999,,,,,,,,,China,,,,,1.1414903077989789
JP3758190007,,12815.050309999999,,,,,,,,,Japan,,,,,1.1062230313654693
GB00B3MBS747,,12646.22479,,,,,,,,,United Kingdom,,,,,1.091649645074468
JP3435750009,,11975.099740000001,,,,,,,,,Japan,,,,,1.0337166702302747
DE000ZAL1111,,11865.3578,,,,,,,,,Germany,,,,,1.0242435071448361
FR0011981968,,11442.07443,,,,,,,,,France,,,,,0.9877047654808566
US81141R1005,,11368.93347,,,,,,,,,China,,,,,0.981391078641481
US31680Q1040,,10591.964670000001,,,,,,,,,China,,,,,0.9143214409560407
FR0000054470,,10513.260559999999,,,,,,,,,France,,,,,0.9075275309019237
DE000A2E4K43,,8529.039847,,,,,,,,,Germany,,,,,0.7362452808181928
JP3966750006,,8057.567327,,,,,,,,,Japan,,,,,0.6955467468551282
US60879B1070,,7617.355495000001,,,,,,,,,China,,,,,0.6575467035109375
CNE1000004J3,,7357.027868000001,,,,,,,,,China,,,,,0.6350746562132847
GB00BVYVFW23,,6969.014322,,,,,,,,,United Kingdom,,,,,0.601580482512535
US98426T1060,,6675.101817,,,,,,,,,China,,,,,0.5762093154572168
GB00BGDT3G23,,6401.0790369999995,,,,,,,,,United Kingdom,,,,,0.5525550727486843
GB00BKX5CN86,,6299.524004,,,,,,,,,United Kingdom,,,,,0.5437886212921484
US3168271043,,5794.533977,,,,,,,,,China,,,,,0.5001967831827537
JP3922950005,,5754.001046,,,,,,,,,Japan,,,,,0.4966978923695074
DE000A12DM80,,5539.404081000001,,,,,,,,,Germany,,,,,0.4781734153365234
JP3399310006,,5489.498768,,,,,,,,,Japan,,,,,0.4738654801124984
US92763W1036,,5309.6040969999995,,,,,,,,,China,,,,,0.4583365806180636
JP3311400000,,5020.571605,,,,,,,,,Japan,,,,,0.43338666690497774
KYG8918W1069,,4876.355122999999,,,,,,,,,Hong Kong,,,,,0.42093758632927264
US44852D1081,,4664.914533,,,,,,,,,China,,,,,0.40268557445531356
JP3921290007,,4611.714471,,,,,,,,,Japan,,,,,0.3980932293274487
GB0030927254,,4387.455983,,,,,,,,,United Kingdom,,,,,0.37873474860332607
JP3206000006,,4281.936102000001,,,,,,,,,Japan,,,,,0.3696260428389753
AU000000APT1,,4006.071784,,,,,,,,,Australia,,,,,0.34581283456265677
DE000A12UKK6,,3980.309529,,,,,,,,,Germany,,,,,0.3435889806462449
