ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US0231351067,,66159821.68,,,,,,,,UNITED STATES,,,,,8.0
US01609W1027,,50625419.93,,,,,,,,CHINA,,,,,8.0
US30303M1027,,45128481.04,,,,,,,,UNITED STATES,,,,,7.0
US02079K3059,,32777059.96,,,,,,,,UNITED STATES,,,,,6.5
KYG875721634,,28962251.23,,,,,,,,HONG KONG,,,,,6.0
US64110L1061,,14881612.53,,,,,,,,UNITED STATES,,,,,5.5
US09857L1089,,10120586.85,,,,,,,,UNITED STATES,,,,,5.0
US00507V1098,,5013069.619,,,,,,,,UNITED STATES,,,,,4.5
US47215P1066,,4163372.4469999997,,,,,,,,CHINA,,,,,4.5
US70450Y1038,,9255555.447999999,,,,,,,,UNITED STATES,,,,,4.5
US0567521085,,6706435.154,,,,,,,,CHINA,,,,,4.5
US45866F1049,,4045117.625,,,,,,,,UNITED STATES,,,,,4.422102233567202
US2855121099,,3946413.48,,,,,,,,UNITED STATES,,,,,4.314199358909302
US64110W1027,,2938833.5039999997,,,,,,,,CHINA,,,,,3.2127179990521357
US22943F1003,,2440022.228,,,,,,,,CHINA,,,,,2.6674200220302424
DE0007472060,,1772678.884,,,,,,,,GERMANY,,,,,1.9378836362845728
GB0001411924,,1741387.23,,,,,,,,UNITED KINGDOM,,,,,1.903675757584034
US05278C1071,,1302568.362,,,,,,,,CHINA,,,,,1.423961179120019
US9485961018,,1234834.787,,,,,,,,CHINA,,,,,1.3499151757494765
FR0000054470,,788209.8749,,,,,,,,FRANCE,,,,,0.8616670691535243
JP3758190007,,748783.2942,,,,,,,,JAPAN,,,,,0.8185661295175878
US60879B1070,,719234.1442,,,,,,,,CHINA,,,,,0.7862631474219776
JP3399310006,,689026.5676,,,,,,,,JAPAN,,,,,0.7532403766802956
US92763W1036,,671033.9818,,,,,,,,CHINA,,,,,0.7335709724182058
US3168271043,,638165.554,,,,,,,,CHINA,,,,,0.6976393725334629
GB00BKX5CN86,,613479.1934,,,,,,,,UNITED KINGDOM,,,,,0.6706523673415172
DE000ZAL1111,,588961.7826,,,,,,,,GERMANY,,,,,0.6438500572208159
GB00B2987V85,,582234.4366,,,,,,,,UNITED KINGDOM,,,,,0.6364957564240427
US98426T1060,,562737.7263,,,,,,,,CHINA,,,,,0.6151820508269543
GB00B3MBS747,,540973.3063,,,,,,,,UNITED KINGDOM,,,,,0.5913892963964094
JP3967200001,,533666.1634,,,,,,,,JAPAN,,,,,0.5834011645459579
DE000A12DM80,,530312.9616,,,,,,,,GERMANY,,,,,0.5797354612107226
JP3311400000,,517008.9746,,,,,,,,JAPAN,,,,,0.5651916095648637
GB0030927254,,464862.8724,,,,,,,,UNITED KINGDOM,,,,,0.5081857530267752
JP3933800009,,449460.18799999997,,,,,,,,JAPAN,,,,,0.49134761594338916
DE000A2E4K43,,433680.5681,,,,,,,,GERMANY,,,,,0.4740974148680541
GB00BVYVFW23,,430772.4497,,,,,,,,UNITED KINGDOM,,,,,0.47091827446614365
GB00B06QFB75,,419734.0303,,,,,,,,UNITED KINGDOM,,,,,0.4588511299208001
IM00B7S9G985,,309176.6711,,,,,,,,UNITED KINGDOM,,,,,0.33799038114205193
US06684L1035,,294096.894,,,,,,,,CHINA,,,,,0.32150524469423225
JP3206000006,,281981.0519,,,,,,,,JAPAN,,,,,0.30826026707458704
AU000000FLT9,,255193.9998,,,,,,,,AUSTRALIA,,,,,0.27897679650502816
JP3922950005,,243181.2716,,,,,,,,JAPAN,,,,,0.26584454248201805
AU000000CAR3,,242553.6994,,,,,,,,AUSTRALIA,,,,,0.2651584837107741
FR0011981968,,225191.2636,,,,,,,,FRANCE,,,,,0.24617795625791739
JP3548610009,,204128.8551,,,,,,,,JAPAN,,,,,0.22315263726681517
DE000A12UKK6,,202481.3543,,,,,,,,GERMANY,,,,,0.22135159768209267
JP3966750006,,196656.8011,,,,,,,,JAPAN,,,,,0.21498422543163775
CNE1000004J3,,86846.26622,,,,,,,,CHINA,,,,,0.09493990124166882
US81141R1005,,45314.50123,,,,,,,,CHINA,,,,,0.0495375847326978
