ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US74340W1036,,4570459.438,,,,,,Pure Play,,,,,,
US74460D1090,,3187980.958,,,,,,Pure Play,,,,,,
US98980A1051,,1440454.583,,,,,,Pure Play,,,,,,
US30225T1025,,1224089.649,,,,,,Pure Play,,,,,,
US2644115055,,1065621.863,,,,,,Pure Play,,,,,,
US5311721048,,701001.0958,,,,,,Pure Play,,,,,,
US2296631094,,571057.0333,,,,,,Pure Play,,,,,,
US03064D1081,,452156.0249,,,,,,Pure Play,,,,,,
US32054K1034,,430751.4644,,,,,,Pure Play,,,,,,
US53223X1072,,422674.2869,,,,,,Pure Play,,,,,,
US2772761019,,392951.0075,,,,,,Pure Play,,,,,,
US76169C1009,,368313.4976,,,,,,Pure Play,,,,,,
US85254J1025,,357027.2901,,,,,,Pure Play,,,,,,
US88146M1018,,259190.7156,,,,,,Pure Play,,,,,,
US6378701063,,154909.9544,,,,,,Pure Play,,,,,,
US4562371066,,127218.2198,,,,,,Pure Play,,,,,,
US6097201072,,113883.1677,,,,,,Pure Play,,,,,,
US08653C1062,,16300.98671,,,,,,Pure Play,,,,,,
US0231351067,,77869615.95,,,,,,Marginal,,,,,,
US01609W1027,,47817433.72,,,,,,Marginal,,,,,,
US9311421039,,14384279.18,,,,,,Marginal,,,,,,
US9113121068,,7913944.118,,,,,,Marginal,,,,,,
US31428X1063,,4711547.77,,,,,,Marginal,,,,,,
US87612E1064,,4221513.023,,,,,,Marginal,,,,,,
US47215P1066,,3584182.939,,,,,,Marginal,,,,,,
US92936U1097,,1279418.324,,,,,,Marginal,,,,,,
US94419L1017,,897477.5076,,,,,,Marginal,,,,,,
US4456581077,,849035.3814,,,,,,Marginal,,,,,,
US9837931008,,712951.2068,,,,,,Marginal,,,,,,
US92763W1036,,446376.4225,,,,,,Marginal,,,,,,
US0025353006,,347359.6305,,,,,,Marginal,,,,,,
US7835491082,,346655.5495,,,,,,Marginal,,,,,,
US69360J1079,,289450.1034,,,,,,Marginal,,,,,,
US05550J1016,,258890.6671,,,,,,Marginal,,,,,,
US19626G1085,,230779.0839,,,,,,Marginal,,,,,,
US11282X1037,,209655.2651,,,,,,Marginal,,,,,,
US5290431015,,202855.2455,,,,,,Marginal,,,,,,
US63845R1077,,193521.6854,,,,,,Marginal,,,,,,
US3498531017,,191064.0971,,,,,,Marginal,,,,,,
US78709Y1055,,175276.6657,,,,,,Marginal,,,,,,
US9507551086,,158659.6125,,,,,,Marginal,,,,,,
US3793782018,,153013.81,,,,,,Marginal,,,,,,
US0893021032,,148340.0504,,,,,,Marginal,,,,,,
US80689H1023,,108930.0547,,,,,,Marginal,,,,,,
US03937C1053,,81001.00815,,,,,,Marginal,,,,,,
US3765361080,,61307.74056,,,,,,Marginal,,,,,,
US13462K1097,,42425.69013,,,,,,Marginal,,,,,,
