ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,ans
US06759L1035,501.8408994,,,,1.8348388869999999,,,BDC,,,0.50591443,,,,3.3416904539229946,1
US3026351078,3115.01199,,,,10.46607731,,,BDC,,,0.43836505200000003,,,,2.895510036355075,1
US69181V1070,319.2616975,,,,1.042056175,,,BDC,,,0.43026941399999996,,,,2.842036336814589,1
US0925331086,414.3927099,,,,1.81082525,,,BDC,,,0.42205323200000006,,,,2.7877664142170193,1
US74348T1025,2458.685443,,,,10.40271486,,,BDC,,,0.368755998,,,,2.4357249472869293,1
US7080621045,447.86057630000005,,,,2.04294656,,,BDC,,,0.36875,,,,2.435685329007327,1
US03761U5020,1124.48336,,,,5.226520401,,,BDC,,,0.331085235,,,,2.1869002021435744,1
US96524V1061,286.6166895,,,,0.959665048,,,BDC,,,0.32593726100000003,,,,2.152896555375002,1
US3165001070,396.59223330000003,,,,1.5446523019999998,,,BDC,,,0.321715814,,,,2.1250128495442713,1
US09259E1082,828.5765455,,,,3.366096619,,,BDC,,,0.3183493,,,,2.102776188501023,1
US8585681088,274.5151306,,,,1.724100205,,,BDC,,,0.307833962,,,,2.033319769528404,1
US48249T1060,319.1346,,,,1.595521851,,,CEF,,,0.30332719,,,,2.003551421212252,1
US6475511001,2253.533571,,,,5.773049445,,,BDC,,,0.300220751,,,,1.9830326201335913,1
US70806A1060,454.7955347,,,,1.81687059,,,BDC,,,0.29559204899999997,,,,1.952458893886142,1
US4270965084,1353.463526,,,,9.031391144,,,BDC,,,0.28975535,,,,1.913906047447819,1
US67073D1028,1040.12103,,,,4.842150362,,,CEF,,,0.285100672,,,,1.883160743269234,1
US09257R1014,665.94024,,,,2.3070446380000003,,,CEF,,,0.283228949,,,,1.870797548012107,1
US38147U1079,814.5236215,,,,2.390890104,,,BDC,,,0.271493213,,,,1.7932800971638272,1
US89677Y1001,365.8468,,,,2.705554665,,,BDC,,,0.269020085,,,,1.7769444725228585,1
US3765351008,278.247465,,,,1.125494325,,,BDC,,,0.268656716,,,,1.774544330035222,1
US09257D1028,203.48604,,,,1.011986288,,,CEF,,,0.268614046,,,,1.7742624840881338,1
US8722801029,922.5298604000001,,,,5.147634394,,,BDC,,,0.261204482,,,,1.725320473704023,1
US87265K1025,1304.77254,,,,4.784820973,,,BDC,,,0.24976076600000002,,,,1.6497318874788665,1
US67074X1072,153.76208,,,,0.552737894,,,CEF,,,0.249368005,,,,1.6471376035317309,1
US6706EN1001,392.43688,,,,1.365274893,,,CEF,,,0.24696335100000003,,,,1.63125426666627,1
US04010L1035,7770.58917,,,,30.07722378,,,BDC,,,0.24669137300000002,,,,1.6294577844305742,1
US38173M1027,1108.066993,,,,3.276271429,,,BDC,,,0.246260683,,,,1.6266129700187772,1
US83416M1053,268.0952358,,,,0.613195811,,,BDC,,,0.244650087,,,,1.6159745834475014,1
US67072T1088,552.67378,,,,1.5517213559999998,,,CEF,,,0.23915537,,,,1.579680613050357,1
US67067Y1047,226.26046000000002,,,,0.7409351129999999,,,CEF,,,0.236975524,,,,1.5652821888559287,1
US83413U1007,882.1799645,,,,2.044804345,,,BDC,,,0.23661149,,,,1.562877653878139,1
US46132R1041,820.9615200000001,,,,2.368929853,,,CEF,,,0.233853211,,,,1.5446585360649623,1
US67401P1084,744.2741017999999,,,,2.080965383,,,BDC,,,0.233140655,,,,1.5399519267217865,1
US3765461070,370.5603629,,,,1.619305446,,,BDC,,,0.232627485,,,,1.5365623114260938,1
US09256U1051,257.28265,,,,1.089768028,,,CEF,,,0.23054720399999998,,,,1.5228215387836184,1
US09255R2022,544.35843,,,,1.8261982559999999,,,CEF,,,0.228598131,,,,1.5099474275666307,1
US06759X1072,325.5416,,,,0.36767863700000003,,,CEF,,,0.219512195,,,,1.4499325637957843,1
US27828Q1058,481.23488,,,,1.548568886,,,CEF,,,0.215438324,,,,1.4230236340955311,1
US72369J1025,259.99638,,,,0.8498747259999999,,,CEF,,,0.21515880699999998,,,,1.421177354892526,1
US09249W1018,548.24954,,,,1.277574004,,,CEF,,,0.207772698,,,,1.372390270608461,1
US1405011073,361.395632,,,,1.5218242519999998,,,BDC,,,0.201257861,,,,1.329358154264667,1
US2782791048,532.98168,,,,1.511106069,,,CEF,,,0.20091185399999997,,,,1.32707269209888,1
US33733U1088,321.69885,,,,0.932433605,,,CEF,,,0.195506542,,,,1.291369263930454,1
US56035L1044,2628.6371289999997,,,,9.115235079,,,BDC,,,0.19513873,,,,1.2889397743243987,1
US92913A1007,833.7425599999999,,,,1.6929305019999998,,,CEF,,,0.19462526800000002,,,,1.2855482302961878,1
US46131H1077,763.3526400000001,,,,2.725816637,,,CEF,,,0.189423077,,,,1.2511864667778312,1
US27826S1033,237.80476000000002,,,,0.8096062490000001,,,CEF,,,0.187377049,,,,1.2376719437070833,1
US0919411043,288.43815,,,,0.966617548,,,CEF,,,0.18448332,,,,1.2185581450049194,1
US33740K1016,320.1159216,,,,0.74155963,,,CEF,,,0.135757919,,,,0.8967147704538714,1
US05588N1081,137.34198,,,,0.319709601,,,CEF,,,0.12193548400000001,,,,0.8054141544792073,1
US05684B1070,930.2165392999999,,,,3.020861027,,,BDC,,,0.067993367,,,,0.44911307517752114,1
US01374T1025,107.90088490000002,,,,0.27151736600000004,,,BDC,,,0.363122172,,,,1.0,0
US14054R1068,152.9120064,,,,0.84334218,,,BDC,,,0.48050264600000003,,,,1.0,0
US12574Q1031,99.5622,,,,0.337893124,,,BDC,,,0.44182069,,,,1.0,0
US3665541039,113.30593999999999,,,,0.248173002,,,BDC,,,0.461322082,,,,1.0,0
US44045A1025,164.3756,,,,1.160160887,,,BDC,,,0.304003336,,,,1.0,0
US58503F1066,126.92442,,,,0.394582631,,,BDC,,,0.554263566,,,,1.0,0
US6103351010,233.0729887,,,,1.23794915,,,BDC,,,0.408163265,,,,1.0,0
US67402D1046,243.10275,,,,0.416624385,,,BDC,,,0.236177885,,,,1.0,0
US67103B1008,148.8415453,,,,0.618386691,,,BDC,,,0.388646292,,,,1.0,0
US73688F1021,85.92253658,,,,0.509643296,,,BDC,,,0.89076,,,,1.0,0
US80349A2087,204.4589911,,,,1.112390277,,,BDC,,,0.24126726199999998,,,,1.0,0
US8724381061,211.19340060000002,,,,0.815035148,,,BDC,,,0.47540983600000003,,,,1.0,0
