ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US24906P1093,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US2521311074,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US45784P1012,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US46120E6023,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US92220P1057,,,,,,,,Pure play,LARGE CAP,,,,,,,
DE0005313704,,,,,,,,Pure play,LARGE CAP,,,,,,,
US0162551016,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US1011371077,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US8636671013,,,,,,,,Pure Play,LARGE CAP,,,,,,,3.8095238095238093
US5747951003,,,,,,,,Pure Play,MID CAP,,,,,,,3.8095238095238093
US6323071042,,,,,,,,Pure Play,MID CAP,,,,,,,3.8095238095238093
US87918A1051,,,,,,,,Pure Play,MID CAP,,,,,,,3.8095238095238093
US6707041058,,,,,,,,Pure Play,MID CAP,,,,,,,3.8095238095238093
KR7214150005,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US2321091082,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
JP3311530004,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US4577301090,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US46121H1095,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US4500561067,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US92672L1070,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US0906721065,,,,,,,,Pure play,SMALL CAP,,,,,,,
IL0011267213,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
US68752L1008,,,,,,,,Pure play,SMALL CAP,,,,,,,
US05465P1012,,,,,,,,Pure play,SMALL CAP,,,,,,,
US20717E1010,,,,,,,,Pure play,SMALL CAP,,,,,,,
US0043971052,,,,,,,,Pure Play,SMALL CAP,,,,,,,3.8095238095238093
IE00BTN1Y115,,,,,,,,Quasi Play,LARGE CAP,,,,,,,1.1764705882352942
US4364401012,,,,,,,,Quasi Play,LARGE CAP,,,,,,,1.1764705882352942
JP3837800006,,,,,,,,Quasi Play,LARGE CAP,,,,,,,1.1764705882352942
US1380063099,,,,,,,,Quasi Play,LARGE CAP,,,,,,,1.1764705882352942
DK0060946788,,,,,,,,Quasi Play,MID CAP,,,,,,,1.1764705882352942
JP3706800004,,,,,,,,Quasi Play,MID CAP,,,,,,,1.1764705882352942
US2074101013,,,,,,,,Quasi Play,MID CAP,,,,,,,1.1764705882352942
US4314751029,,,,,,,,Quasi play,MID CAP,,,,,,,
CH0012100191,,,,,,,,Quasi play,MID CAP,,,,,,,
US92214X1063,,,,,,,,Quasi Play,SMALL CAP,,,,,,,1.1764705882352942
TW0004736004,,,,,,,,Quasi Play,SMALL CAP,,,,,,,1.1764705882352942
US88554D2053,,,,,,,,Quasi Play,SMALL CAP,,,,,,,1.1764705882352942
BE0003755692,,,,,,,,Quasi play,SMALL CAP,,,,,,,
JP3630400004,,,,,,,,Quasi Play,SMALL CAP,,,,,,,1.1764705882352942
US6048711039,,,,,,,,Quasi play,SMALL CAP,,,,,,,
KYG020141019,,,,,,,,Quasi play,SMALL CAP,,,,,,,
US2187301096,,,,,,,,Pure Play,Small Cap,,,,,,,0.07010309278350517
US2074101013,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
TW0004736004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
US92214X1063,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
JP3630400004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
BE0003755692,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
US88554D2053,,,,,,,,Quasi Play,Small Cap,,,,,,,0.02164948453608248
