ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US24906P1093,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US2521311074,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US45784P1012,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US46120E6023,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US92220P1057,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
DE0005313704,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US0162551016,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US1011371077,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US8636671013,,,,,,,,Pure Play,Large Cap,,,,,,,0.037647058823529415
US5747951003,,,,,,,,Pure Play,Mid Cap,,,,,,,0.06632124352331607
US6323071042,,,,,,,,Pure Play,Mid Cap,,,,,,,0.06632124352331607
US87918A1051,,,,,,,,Pure Play,Mid Cap,,,,,,,0.06632124352331607
US6707041058,,,,,,,,Pure Play,Mid Cap,,,,,,,0.06632124352331607
KR7214150005,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US2321091082,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
JP3311530004,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US4577301090,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US46121H1095,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US4500561067,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US92672L1070,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US0906721065,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
IL0011267213,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US68752L1008,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US05465P1012,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US20717E1010,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
US0043971052,,,,,,,,Pure Play,Small Cap,,,,,,,0.012623274161735702
IE00BTN1Y115,,,,,,,,Quasi Play,Large Cap,,,,,,,0.015294117647058823
US4364401012,,,,,,,,Quasi Play,Large Cap,,,,,,,0.015294117647058823
JP3837800006,,,,,,,,Quasi Play,Large Cap,,,,,,,0.015294117647058823
US1380063099,,,,,,,,Quasi Play,Large Cap,,,,,,,0.015294117647058823
DK0060946788,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.02694300518134715
JP3706800004,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.02694300518134715
US2074101013,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.02694300518134715
US4314751029,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.02694300518134715
CH0012100191,,,,,,,,Quasi Play,Mid Cap,,,,,,,0.02694300518134715
US92214X1063,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
TW0004736004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
US88554D2053,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
BE0003755692,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
JP3630400004,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
US6048711039,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
KYG020141019,,,,,,,,Quasi Play,Small Cap,,,,,,,0.005128205128205128
