ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US5949181045,,103335626.01167199,,,,,,Quasi Play,,,,,,,0.02
US0378331005,,91642265.3652212,,,,,,Quasi Play,,,,,,,0.02
US02079K3059,,33264582.429244302,,,,,,Quasi Play,,,,,,,0.02
KR7005930003,,18509234.2460343,,,,,,Quasi Play,,,,,,,0.02
IE00BTN1Y115,,13288631.777115598,,,,,,Quasi Play,,,,,,,0.02
US4385161066,,12782947.0800683,,,,,,Quasi Play,,,,,,,0.02
US79466L3024,,11644138.0301299,,,,,,Quasi Play,,,,,,,0.02
FR0000121014,,11070282.436502302,,,,,,Quasi Play,,,,,,,0.02
US6541061031,,10559459.037947001,,,,,,Quasi Play,,,,,,,0.02
US8825081040,,10545492.7690776,,,,,,Quasi Play,,,,,,,0.02
US3696041033,,9206272.93400021,,,,,,Quasi Play,,,,,,,0.02
US7475251036,,8832188.38668923,,,,,,Quasi Play,,,,,,,0.02
JP3435000009,,6697409.610693478,,,,,,Quasi Play,,,,,,,0.005930162601115908
US1011371077,,5805154.351794801,,,,,,Quasi Play,,,,,,,0.005140123007521147
US0326541051,,4148336.73790536,,,,,,Quasi Play,,,,,,,0.003673108382184543
SE0000108656,,2909130.7038625204,,,,,,Quasi Play,,,,,,,0.002575864267620509
US0320951017,,2849720.70695088,,,,,,Quasi Play,,,,,,,0.002523260206901974
FI0009000681,,2759473.44684802,,,,,,Quasi Play,,,,,,,0.0024433515619445767
US2193501051,,2591037.62531021,,,,,,Quasi Play,,,,,,,0.002294211541006194
JP3914400001,,2304641.5878537702,,,,,,Quasi Play,,,,,,,0.002040624681435855
KYG9830T1067,,2077882.43047597,,,,,,Quasi Play,,,,,,,0.0018398427742944232
US5950171042,,1990049.6247287702,,,,,,Quasi Play,,,,,,,0.0017620719867706197
DE0007472060,,1953009.4130396796,,,,,,Quasi Play,,,,,,,0.0017292750561863908
US8716071076,,1936138.2777661197,,,,,,Quasi Play,,,,,,,0.001714336657424295
DE0006231004,,1905234.3619637296,,,,,,Quasi Play,,,,,,,0.0016869730562154399
US57772K1016,,1577261.2759996003,,,,,,Quasi Play,,,,,,,0.0013965721636895211
TW0002454006,,1533790.4033565696,,,,,,Quasi Play,,,,,,,0.0013580812607628177
US83088M1027,,1304349.3379541803,,,,,,Quasi Play,,,,,,,0.0011549246816823047
JP3818000006,,1287607.82507358,,,,,,Quasi Play,,,,,,,0.0011401010559312203
NL0000226223,,1109584.33481512,,,,,,Quasi Play,,,,,,,0.0009824717178114144
CH0114405324,,1079888.6280564198,,,,,,Quasi Play,,,,,,,0.00095617791470387
US9892071054,,1072778.77275307,,,,,,Quasi Play,,,,,,,0.0009498825556814876
US83304A1060,,1038780.3509496001,,,,,,Quasi Play,,,,,,,0.0009197789512738984
JP3197800000,,935939.857687722,,,,,,Quasi Play,,,,,,,0.0008287197384629988
JP3538800008,,891930.339074115,,,,,,Quasi Play,,,,,,,0.0007897518961857662
US6821891057,,810047.9070680001,,,,,,Quasi Play,,,,,,,0.0007172498149041046
CH0012255151,,802313.5607331289,,,,,,Quasi Play,,,,,,,0.0007104015057748706
US74736K1016,,768075.3410224002,,,,,,Quasi Play,,,,,,,0.0006800855744134126
US5747951003,,723484.7955341762,,,,,,Quasi Play,,,,,,,0.0006406032669858633
US3024451011,,723466.0505478119,,,,,,Quasi Play,,,,,,,0.0006405866694020872
