ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Excess Weight,Total Weight
US92936U1097,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US30040W1080,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US2333311072,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US9256521090,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US0255371017,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US9029733048,,,,,,,,,,,,0,0,Financials,,,,,,,2.0,0,0,0
GB00BDCPN049,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US98389B1008,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US29472R1086,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US8666741041,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US25960P1093,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US0188021085,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US02665T3068,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US7234841010,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US22822V1017,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US8621211007,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US4511071064,,,,,,,,,,,,0,0,Utilities,,,,,,,2.0,0,0,0
US26884U1097,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US1091941005,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,2.0,0,0,0
US03027X1000,,,,,,,,,,,,0,1,Real Estate,,,,,,,2.0,0,0,0
US92345Y1064,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US5590801065,,,,,,,,,,,,1,0,Energy,,,,,,,2.0,0,0,0
US5801351017,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,2.0,0,0,0
US7427181091,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US4278661081,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US2937921078,,,,,,,,,,,,1,0,Energy,,,,,,,2.0,0,0,0
BMG3922B1072,,,,,,,,,,,,0,0,Information Technology,,,,,,,2.0,0,0,0
US0394831020,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US4404521001,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US4370761029,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,2.0,0,0,0
IE00BFY8C754,,,,,,,,,,,,0,0,Health Care,,,,,,,2.0,0,0,0
US8725401090,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,2.0,0,0,0
IE00B4BNMY34,,,,,,,,,,,,0,0,Information Technology,,,,,,,2.0,0,0,0
IE00BFRT3W74,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US8910921084,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US0995021062,,,,,,,,,,,,0,0,Information Technology,,,,,,,2.0,0,0,0
US40416M1053,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US22160K1051,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US73278L1052,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,2.0,0,0,0
US8718291078,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US0311001004,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US5797802064,,,,,,,,,,,,0,0,Consumer Staples,,,,,,,2.0,0,0,0
US12541W2098,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
IL0010824113,,,,,,,,,,,,0,0,Information Technology,,,,,,,2.0,0,0,0
US3841091040,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US1667641005,,,,,,,,,,,,0,0,Energy,,,,,,,2.0,0,0,0
US7766961061,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US98978V1035,,,,,,,,,,,,0,0,Health Care,,,,,,,2.0,0,0,0
US5261071071,,,,,,,,,,,,0,0,Industrials,,,,,,,2.0,0,0,0
US31620R3030,,,,,,,,,,,,0,0,Financials,,,,,,,2.0,0,0,0
