ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
US64704V1061,,,,,,,,,,,,0,Communication Services,,0.02
US55608B1052,,,,,,,,,,,,0,Industrials,,0.02
US93964W1080,,,,,,,,,,,,0,Real Estate,,0.02
US8661421029,,,,,,,,,,,,1,Energy,,0.02
US90290N1090,,,,,,,,,,,,1,Energy,,0.02
US92240M1080,,,,,,,,,,,,0,Consumer Staples,,0.02
US90187B4086,,,,,,,,,,,,0,Financials,,0.02
US6496045013,,,,,,,,,,,,0,Financials,,0.02
US0309751065,,,,,,,,,,,,1,Utilities,,0.02
US00123Q1040,,,,,,,,,,,,0,Financials,,0.02
BMG810751062,,,,,,,,,,,,0,Energy,,0.02
US0357104092,,,,,,,,,,,,0,Financials,,0.02
US55272X1028,,,,,,,,,,,,0,Financials,,0.02
US0423155078,,,,,,,,,,,,0,Financials,,0.02
US3793782018,,,,,,,,,,,,0,Real Estate,,0.02
US16934Q2084,,,,,,,,,,,,0,Financials,,0.02
US03762U1051,,,,,,,,,,,,0,Financials,,0.02
US24664T1034,,,,,,,,,,,,1,Energy,,0.02
US6353091076,,,,,,,,,,,,0,Communication Services,,0.02
US20451Q1040,,,,,,,,,,,,1,Financials,,0.02
US70931T1034,,,,,,,,,,,,0,Financials,,0.02
US69318Q1040,,,,,,,,,,,,1,Energy,,0.02
US34960P1012,,,,,,,,,,,,0,Industrials,,0.02
US18539C2044,,,,,,,,,,,,0,Utilities,,0.02
US70338P1003,,,,,,,,,,,,0,Utilities,,0.02
US05508R1068,,,,,,,,,,,,0,Consumer Staples,,0.02
US02209S1033,,,,,,,,,,,,0,Consumer Staples,,0.02
BMG162581083,,,,,,,,,,,,1,Utilities,,0.02
US00206R1023,,,,,,,,,,,,0,Communication Services,,0.02
US1501851067,,,,,,,,,,,,1,Consumer Discretionary,,0.02
US7181721090,,,,,,,,,,,,0,Consumer Staples,,0.02
US7185492078,,,,,,,,,,,,1,Energy,,0.02
US00165C1045,,,,,,,,,,,,0,Communication Services,,0.02
US69351T1060,,,,,,,,,,,,0,Utilities,,0.02
US83001A1025,,,,,,,,,,,,0,Consumer Discretionary,,0.02
US9134561094,,,,,,,,,,,,0,Consumer Staples,,0.02
US8425871071,,,,,,,,,,,,0,Utilities,,0.02
US3703341046,,,,,,,,,,,,0,Consumer Staples,,0.02
US30231G1022,,,,,,,,,,,,0,Energy,,0.02
US26441C2044,,,,,,,,,,,,0,Utilities,,0.02
US92343V1044,,,,,,,,,,,,0,Communication Services,,0.02
US7473011093,,,,,,,,,,,,0,Industrials,,0.02
US8998961044,,,,,,,,,,,,0,Consumer Discretionary,,0.02
US2220702037,,,,,,,,,,,,0,Consumer Staples,,0.02
US45774N1081,,,,,,,,,,,,0,Materials,,0.02
US22282E1029,,,,,,,,,,,,0,Industrials,,0.02
US36473H1041,,,,,,,,,,,,0,Communication Services,,0.02
US1686151028,,,,,,,,,,,,0,Consumer Discretionary,,0.02
US1184401065,,,,,,,,,,,,0,Consumer Discretionary,,0.02
US5733311055,,,,,,,,,,,,1,Energy,,0.02
