ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC)
CH0114405324,,16159.67104,,,,,,Pure Play,,,,,,,,,,,
NL0000226223,,15596.47619,,,,,,Pure Play,,,,,,,,,,,
US2521311074,,14172.843,,,,,,Pure Play,,,,,,,,,,,
US83088M1027,,13097.11296,,,,,,Pure Play,,,,,,,,,,,
US2328061096,,8160.3282,,,,,,Pure Play,,,,,,,,,,,
GB00BFMBMT84,,7829.40564,,,,,,Pure Play,,,,,,,,,,,
TW0002395001,,5819.182059,,,,,,Pure Play,,,,,,,,,,,
US00090Q1031,,4737.33012,,,,,,Pure Play,,,,,,,,,,,
US8269191024,,4292.49264,,,,,,Pure Play,,,,,,,,,,,
AT0000A18XM4,,3007.687398,,,,,,Pure Play,,,,,,,,,,,
US0116421050,,2594.03211,,,,,,Pure Play,,,,,,,,,,,
CH0371153492,,2481.95301,,,,,,Pure Play,,,,,,,,,,,
US4657411066,,2459.70599,,,,,,Pure Play,,,,,,,,,,,
US0774541066,,2366.90545,,,,,,Pure Play,,,,,,,,,,,
US45867G1013,,2057.93588,,,,,,Pure Play,,,,,,,,,,,
US0565251081,,1699.44255,,,,,,Pure Play,,,,,,,,,,,
KYG037AX1015,,1439.5778,,,,,,Pure Play,,,,,,,,,,,
US7509171069,,1299.46611,,,,,,Pure Play,,,,,,,,,,,
IT0004053440,,1131.761748,,,,,,Pure Play,,,,,,,,,,,
US33812L1026,,1020.24072,,,,,,Pure Play,,,,,,,,,,,
TW0003529004,,872.9567716,,,,,,Pure Play,,,,,,,,,,,
US64111Q1040,,863.51064,,,,,,Pure Play,,,,,,,,,,,
NO0003055501,,793.160355,,,,,,Pure Play,,,,,,,,,,,
JP3725200004,,697.114081,,,,,,Pure Play,,,,,,,,,,,
US21240D1072,,635.35687,,,,,,Pure Play,,,,,,,,,,,
US4532041096,,577.32884,,,,,,Pure Play,,,,,,,,,,,
US68555P1003,,574.24045,,,,,,Pure Play,,,,,,,,,,,
CA8265161064,,433.45049,,,,,,Pure Play,,,,,,,,,,,
US81727U1051,,361.09632,,,,,,Pure Play,,,,,,,,,,,
US04206A1016,,301.42385,,,,,,Pure Play,,,,,,,,,,,
US17275R1023,,245756.8815,,,,,,Quasi Play,,,,,,,,,,,
US4581401001,,211269.63,,,,,,Quasi Play,,,,,,,,,,,
US4385161066,,128293.6372,,,,,,Quasi Play,,,,,,,,,,,
US4592001014,,123110.3806,,,,,,Quasi Play,,,,,,,,,,,
US7475251036,,88429.94526,,,,,,Quasi Play,,,,,,,,,,,
FR0000121972,,51184.67542,,,,,,Quasi Play,,,,,,,,,,,
CH0012221716,,42850.78452,,,,,,Quasi Play,,,,,,,,,,,
US0326541051,,41620.29816,,,,,,Quasi Play,,,,,,,,,,,
US2910111044,,40263.7562,,,,,,Quasi Play,,,,,,,,,,,
IE00BY7QL619,,35653.3393,,,,,,Quasi Play,,,,,,,,,,,
KYG9830T1067,,30534.01444,,,,,,Quasi Play,,,,,,,,,,,
NL0009538784,,27950.00175,,,,,,Quasi Play,,,,,,,,,,,
US7739031091,,19298.9241,,,,,,Quasi Play,,,,,,,,,,,
FR0010307819,,19219.77447,,,,,,Quasi Play,,,,,,,,,,,
TW0002454006,,15786.52552,,,,,,Quasi Play,,,,,,,,,,,
JP3164720009,,8293.846769,,,,,,Quasi Play,,,,,,,,,,,
US76118Y1047,,2603.694,,,,,,Quasi Play,,,,,,,,,,,
GB0004726096,,1145.213687,,,,,,Quasi Play,,,,,,,,,,,
US3665051054,,1140.29762,,,,,,Quasi Play,,,,,,,,,,,
SE0008374250,,610.7466589,,,,,,Quasi Play,,,,,,,,,,,
JP3128620006,,169.8644172,,,,,,Quasi Play,,,,,,,,,,,
