ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC)
BMG162581083,,5983.293437,,,,,,,,,,1,,,,BROOKFIELD RENEWABLE PARTNERS LP,,,,
CA6665111002,,3354.615763,,,,,,,,,,0,,,,NORTHLAND POWER INC,,,,
US88104R2094,,2894.52528,,,,,,,,,,0,,,,TERRAFORM POWER INC,,,,
CA8934631091,,2724.643465,,,,,,,,,,0,,,,TRANSALTA RENEWABLES INC.,,,,
GB00B8SC6K54,,2689.851542,,,,,,,,,,0,,,,GREENCOAT UK WIND PLC,,,,
US65341B1061,,2577.285,,,,,,,,,,1,,,,NEXTERA ENERGY PARTNERS LP,,,,
GG00BBHX2H91,,2327.642225,,,,,,,,,,0,,,,RENEWABLES INFRASTRUCTURE GROUP LIMITED GBp RED SHS,,,,
US70338P1003,,2229.31519,,,,,,,,,,0,,,,PATTERN ENERGY GROUP INC,,,,
GB00BLP5YB54,,2225.81957,,,,,,,,,,0,,,,ATLANTICA YIELD PLC,,,,
US41068X1000,,1717.14356,,,,,,,,,,0,,,,HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL INC,,,,
CA45790B1040,,1418.667583,,,,,,,,,,0,,,,INNERGEX RENEWABLE ENERGY INC,,,,
CA1366351098,,1288.33414,,,,,,,,,,0,,,,CANADIAN SOLAR INC,,,,
GG00BJ0JVY01,,870.6832861,,,,,,,,,,0,,,,NEXTENERGY SOLAR FUND,,,,
JE00BD3QJR55,,821.6075898,,,,,,,,,,0,,,,FORESIGHT SOLAR FUND,,,,
GG00BJL5FH87,,734.4368654,,,,,,,,,,0,,,,JOHN LAING ENVIRONMENTAL ASSETS GROUP LTD,,,,
GG00BB0RDB98,,606.3897386,,,,,,,,,,0,,,,BLUEFIELD SOLAR INCOME FUND LTD.,,,,
US18539C1053,,523.498,,,,,,,,,,0,,,,CLEARWAY ENERGY INC CLASS A,,,,
BMG162581992,,164.74651,,,,,,,,,,#N/A,,,,BROOKFIELD RENEWABLE PARTNERS LP,,,,
BMG162584053,,156.86568,,,,,,,,,,#N/A,,,,BROOKFIELD RENEWABLE PARTNERS LP,,,,
BMG162581653,,151.011368,,,,,,,,,,#N/A,,,,BROOKFIELD RENEWABLE PARTNERS LP,,,,
