ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,D/E,AISC
TREKOAL00014,,,,,,,,,,,,,,,,,,34.51024218,0,0
JE00B5TT1872,,,,,,,,,,,,,,,,,,5.581537748,0,969.8742078
AU000000SBM8,,,,,,,,,,,,,,,,,,40.28369197,0.005856999,757.4479852
AU000000SAR9,,,,,,,,,,,,,,,,,,22.38985029,0.042763745,0
CA0115321089,,,,,,,,,,,,,,,,,,-2.748178291,0.099911617,1085.074286
AU000000RRL8,,,,,,,,,,,,,,,,,,29.65043557,0.132214898,765.9490849
CA49741E1007,,,,,,,,,,,,,,,,,,22.63335181,1.759472285,751.542857
AU000000NST8,,,,,,,,,,,,,,,,,,27.02514939,2.084520279,874.7631614
CA3518581051,,,,,,,,,,,,,,,,,,2.977274188,4.481962046,0
CA1520061021,,,,,,,,,,,,,,,,,,5.37595875,8.812349542,975.3599818
CA6752221037,,,,,,,,,,,,,,,,,,7.871512848,11.26571775,841.5086064
CA2506691088,,,,,,,,,,,,,,,,,,-0.050509858,12.67899913,1270.491472
CA4509131088,,,,,,,,,,,,,,,,,,-1.020962311,14.92351607,1171.748571
US7802871084,,,,,,,,,,,,,,,,,,-5.168834397,16.69834033,0
AU000000EVN4,,,,,,,,,,,,,,,,,,11.92705958,16.86623894,0
CA68827L1013,,,,,,,,,,,,,,,,,,-5.829092608,19.91250822,0
GB00B1FW5029,,,,,,,,,,,,,,,,,,1.741520233,21.83642458,0
US2044481040,,,,,,,,,,,,,,,,,,-0.220423663,24.84813028,0
CA7847301032,,,,,,,,,,,,,,,,,,0.66911944,25.41207846,0
GB00B2QPKJ12,,,,,,,,,,,,,,,,,,11.35724403,26.23982343,0
AU000000NCM7,,,,,,,,,,,,,,,,,,2.643827808,26.95064233,916.1142956
CA11777Q2099,,,,,,,,,,,,,,,,,,1.82975235,29.76727354,831.6342856
CA66987E2069,,,,,,,,,,,,,,,,,,-14.15102189,32.09698297,0
CA0084741085,,,,,,,,,,,,,,,,,,-6.880086276,37.8729111,962.1942856
CA4969024047,,,,,,,,,,,,,,,,,,-0.519234789,38.49823596,1052.16
US6516391066,,,,,,,,,,,,,,,,,,2.661976518,40.57322415,997.302857
CA98462Y1007,,,,,,,,,,,,,,,,,,-6.85560119,44.08542852,895.2685713
ID1000106602,,,,,,,,,,,,,,,,,,4.57459706,52.12999047,0
CA74139C1023,,,,,,,,,,,,,,,,,,4.227212072,69.21658772,838.2171427
KYG3040R1589,,,,,,,,,,,,,,,,,,-0.007003731,74.89796109,816.2743252
CA0679011084,,,,,,,,,,,,,,,,,,-18.34807909,75.56960358,884.2971427
US0351282068,,,,,,,,,,,,,,,,,,5.029036629,77.30015083,1070.811428
US38059T1060,,,,,,,,,,,,,,,,,,-11.9378607,81.21109006,1062.034286
US8257242060,,,,,,,,,,,,,,,,,,-10.50632407,103.0111315,1435.664311
JE00B6T5S470,,,,,,,,,,,,,,,,,,25.76807916,137.7084844,0
CNE100000502,,,,,,,,,,,,,,,,,,11.84603023,149.6345911,0
CNE1000004R6,,,,,,,,,,,,,,,,,,4.53525625,167.9336897,0
RU000A0JNAA8,,,,,,,,,,,,,,,,,,98.10035282,1103.394089,0
