ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC,ROE Rank,ROE Percentile,Winzorized ROE,Debt/Equity Rank,Debt/Equity Percentile,Winzorized Debt/Equity,AISC Rank,AISC Percentile,Winzorized AISC,Z-ROE,Modified Z-ROE,Z-Debt/Equity,Modified Z-Debt/Equity,Z-AISC,Modified Z-AISC,Flag,Quality Score,Weight
TREKOAL00014,,,,,,,,,,,,,,,,,,34.51024218,0.0,0.0,3,94.5945945945946,29.65043557,37,2.7027027027027026,0.042763745,,,,1.9124038331910285,2.9124038331910285,0.9554132194516273,1.9554132194516272,,,0,2.4339085263213276,5.245297564569499
JE00B5TT1872,,,,,,,,,,,,,,,,,,5.581537748,0.0,969.8742078,13,67.56756756756756,5.581537748,38,0.0,0.042763745,10.0,57.14285714285714,969.8742078,-0.038051749302309465,0.9633431095050082,0.9554132194516273,1.9554132194516272,-0.15634304558936396,0.8647952731797862,1,1.2611838673788072,2.71796766250493
AU000000SBM8,,,,,,,,,,,,,,,,,,40.28369197,0.005856999,757.4479852000001,2,97.2972972972973,29.65043557,36,5.405405405405405,0.042763745,21.0,4.761904761904762,765.9490849,1.9124038331910285,2.9124038331910285,0.9554132194516273,1.9554132194516272,1.398025694186382,2.398025694186382,1,2.4219475822763457,5.219520625957955
AU000000SAR9,,,,,,,,,,,,,,,,,,22.38985029,0.042763745,0.0,8,81.08108108108108,22.38985029,35,8.108108108108109,0.042763745,,,,1.3240325169689457,2.3240325169689457,0.9554132194516273,1.9554132194516272,,,0,2.1397228682102867,4.611300313097855
CA0115321089,,,,,,,,,,,,,,,,,,-2.7481782910000003,0.099911617,1085.074286,30,21.62162162162162,-2.7481782910000003,34,10.81081081081081,0.099911617,4.0,85.71428571428571,1085.074286,-0.713061517884302,0.5837501978533959,0.9540664872727473,1.9540664872727473,-1.0344271081480012,0.4915388690973202,1,1.0097851847411545,2.1761802931298297
AU000000RRL8,,,,,,,,,,,,,,,,,,29.65043557,0.132214898,765.9490849,4,91.8918918918919,29.65043557,33,13.513513513513514,0.132214898,20.0,9.523809523809524,765.9490849,1.9124038331910285,2.9124038331910285,0.953305236390018,1.953305236390018,1.398025694186382,2.398025694186382,1,2.4212449212558096,5.218006326591369
CA49741E1007,,,,,,,,,,,,,,,,,,22.63335181,1.759472285,751.542857,7,83.78378378378379,22.63335181,32,16.216216216216218,1.759472285,22.0,0.0,765.9490849,1.3437649909086333,2.3437649909086335,0.9149577037576022,1.9149577037576022,1.398025694186382,2.398025694186382,1,2.2189161296175395,4.781969102289212
AU000000NST8,,,,,,,,,,,,,,,,,,27.02514939,2.084520279,874.7631614000001,5,89.1891891891892,27.02514939,31,18.91891891891892,2.084520279,15.0,33.33333333333333,874.7631614000001,1.6996602284239148,2.699660228423915,0.9072977056180354,1.9072977056180354,0.568617347858659,1.568617347858659,1,2.05852509396687,4.436311613694602
CA3518581051,,,,,,,,,,,,,,,,,,2.977274188,4.4819620460000005,0.0,19,51.35135135135135,2.977274188,30,21.62162162162162,4.4819620460000005,,,,-0.24909175771694875,0.8005816977191245,0.8508002042830799,1.8508002042830798,,,0,1.3256909510011021,2.8569863827905726
CA1520061021,,,,,,,,,,,,,,,,,,5.37595875,8.812349542,975.3599818,14,64.86486486486487,5.37595875,29,24.324324324324326,8.812349542,9.0,61.904761904761905,975.3599818,-0.054711120548049705,0.9481269141074187,0.7487513967984745,1.7487513967984745,-0.1981569991514071,0.8346151637124755,1,1.1771644915394561,2.5368981511815556
