ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap
US2521311074,,6618.66056,,,,,,Pure Play,,,,,,,,,,,,6.0,1
CH0114405324,,8019.670679999999,,,,,,Pure Play,,,,,,,,,,,,6.0,1
NL0010831061,,10115.17992,,,,,,Pure Play,,,,,,,,,,,,6.0,1
US83088M1027,,12038.26064,,,,,,Pure Play,,,,,,,,,,,,6.0,1
NL0009324904,,5951.04774,,,,,,Pure Play,,,,,,,,,,,,,0
NL0000226223,,5306.782579,,,,,,Pure Play,,,,,,,,,,,,,0
TW0002395001,,4788.992195000001,,,,,,Pure Play,,,,,,,,,,,,,0
US1116213067,,4293.24732,,,,,,Pure Play,,,,,,,,,,,,,0
US2328061096,,3289.0679999999998,,,,,,Pure Play,,,,,,,,,,,,,0
US0774541066,,2539.8866399999997,,,,,,Pure Play,,,,,,,,,,,,,0
FR0010307819,,13736.276619999999,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US4592001014,,145703.0324,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US4581401001,,154881.6,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US7739031091,,14956.91248,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US0326541051,,17408.304,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
IE00BQRQXQ92,,18155.3106,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
NL0009538784,,27105.87502,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
US4783661071,,28696.8562,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
US2910111044,,33557.188160000005,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
FR0000121972,,34704.13492,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
CH0012221716,,45429.98798,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
US7475251036,,78689.77655,,,,,,Quasi Play,,,,,,,,,,,,4.5,1
US4385161066,,88649.2168,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US17275R1023,,144302.4373,,,,,,Quasi Play,,,,,,,,,,,,2.0,1
US8269191024,,2034.94374,,,,,,Pure Play,,,,,,,,,,,,4.5,1
AT0000A18XM4,,2030.7539399999998,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US45867G1013,,1925.0246399999999,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US33812L1026,,1896.58066,,,,,,Pure Play,,,,,,,,,,,,4.5,1
KYG037AX1015,,1669.36255,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US4657411066,,1648.2733,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US64111Q1040,,1548.1401,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US7509171069,,1329.73016,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US0116421050,,1168.39481,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US0565251081,,1061.7101400000001,,,,,,Pure Play,,,,,,,,,,,,4.5,1
TW0003529004,,747.039724,,,,,,Pure Play,,,,,,,,,,,,4.5,1
NO0003055501,,666.1992907,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US82817Q1031,,618.4107,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US46123D2053,,570.62944,,,,,,Pure Play,,,,,,,,,,,,4.5,1
CA8265161064,,537.7857123,,,,,,Pure Play,,,,,,,,,,,,4.5,1
KYG9463P1081,,537.6632151,,,,,,Pure Play,,,,,,,,,,,,4.5,1
JP3725200004,,493.213259,,,,,,Pure Play,,,,,,,,,,,,4.5,1
JP3386560001,,415.5641904,,,,,,Pure Play,,,,,,,,,,,,4.5,1
GB00B06GM726,,372.80406469999997,,,,,,Pure Play,,,,,,,,,,,,4.5,1
US8265651039,,237.89713999999998,,,,,,Pure Play,,,,,,,,,,,,0.3,1
