Date,Fixed Income Index,Infrastructure Index,Institutional Managers Index,Solactive Global SuperDividend REIT Index
30-09-2010,1000,1000,1000,1000
01-10-2010,1005.297893,1008.998047,1005.481333,1006.423433
04-10-2010,1003.217226,1005.79674,995.183773,1010.620075
05-10-2010,1005.546354,1011.525801,1020.609444,1024.580336
06-10-2010,1003.91624,1014.072521,1023.80771,1026.293251
07-10-2010,1007.114658,1018.498926,1016.854445,1026.378897
08-10-2010,1009.42943,1020.63608,1032.438443,1025.779376
11-10-2010,1010.662334,1021.412146,1034.694188,1025.008565
12-10-2010,1011.571529,1019.731207,1038.228661,1025.351148
13-10-2010,1015.112021,1022.486637,1049.12769,1035.114765
14-10-2010,1012.508499,1018.839141,1045.915498,1035.542994
15-10-2010,1009.686145,1019.895051,1040.079977,1033.830079
18-10-2010,1009.062695,1025.977985,1055.229016,1039.4827
19-10-2010,1005.639624,1020.409998,1031.392545,1029.976019
20-10-2010,1009.938553,1027.339191,1048.246051,1042.90853
21-10-2010,1010.96997,1024.455831,1047.817026,1039.397054
22-10-2010,1010.08809,1021.37169,1056.505619,1040.253511
25-10-2010,1008.100634,1022.216347,1062.677803,1043.422405
26-10-2010,1008.166187,1025.812117,1069.770211,1037.598493
27-10-2010,1008.497891,1025.320671,1070.324607,1025.950668
28-10-2010,1010.498627,1028.517082,1065.596195,1030.147311
29-10-2010,1011.888286,1031.751945,1071.994303,1031.603289
01-11-2010,1011.016994,1033.737233,1069.883501,1033.059267
02-11-2010,1016.984894,1044.032129,1091.689049,1040.853032
03-11-2010,1021.252505,1040.753269,1101.090791,1039.054471
04-11-2010,1023.409713,1049.037349,1122.496447,1056.697499
05-11-2010,1026.492439,1054.709066,1126.525078,1058.752998
08-11-2010,1024.016227,1054.304246,1131.84744,1050.017129
09-11-2010,1020.5116,1056.200445,1111.497626,1031.860226
10-11-2010,1019.221696,1049.094085,1114.325817,1032.031518
11-11-2010,1012.444853,1047.382698,1105.681543,1026.550188
12-11-2010,1004.75693,1042.97645,1090.018286,1015.758822
15-11-2010,1001.032103,1048.477397,1087.053733,1009.078452
16-11-2010,984.525288,1031.163307,1052.728994,987.1531346
