ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Excess Weight,Total Weight
US26441C2044,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US8425871071,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US2916411083,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US0185223007,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US2091151041,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US6676551046,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US8723751009,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US69351T1060,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US8644821048,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US92205F1066,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US0309751065,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US1067761072,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US5733311055,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US90290N1090,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US74734R1086,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US3152931008,,,,,,,,,,,,,,Infrastructure,,,,,,,1.500679725625,0,0,0
US02503Y1038,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US03761U1060,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US04010L1035,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US0925331086,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US31678A1034,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US4270965084,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US56035L1044,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US7080621045,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US74348T1025,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US83413U1007,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US8958481090,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US87238Q1031,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US87244T1097,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US6475511001,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US58503F1066,,,,,,,,,,,,,,Institutional Managers,,,,,,,1.4923535353333333,0,0,0
US27829G1067,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US27828Y1082,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US92912T1007,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US27829C1053,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US0925011050,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US6174771047,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US8801921094,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US95766A1016,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US86164T1079,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US95766E1038,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US1127921062,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US11283U1088,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US6707351093,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US09247F1003,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US95790B1098,,,,,,,,,,,,,,Fixed Income,,,,,,,2.090948511333333,0,0,0
US37950E1275,,,,,,,,,,,,,,Real Estate,,,,,,,22.23959369,0,0,0
