ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,Weight
US5949181045,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US30303M1027,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US92826C8394,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US64110L1061,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US70450Y1038,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US4612021034,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US2786421030,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US90184L1026,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US7565771026,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US8522341036,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
LU1778762911,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US58733R1023,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US2172041061,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US4001101025,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US48238T1097,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US98954M2008,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US83304A1060,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US8969452015,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US29786A1060,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US90214J1016,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US75606N1090,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
CA7677441056,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US9858171054,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US10316T1043,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US1630921096,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US14575E1055,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US57665R1068,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US3994731079,,,,,,,,Pure Play,,,,,,,,,,,,,2.5
US2829141009,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US1417881091,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US26210C1045,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US52603A1097,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US00183L1026,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US8256901005,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US03783C1009,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US1416331072,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US09857L1089,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US21925Y1038,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US6983541078,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US32008D1063,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US0537741052,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US0231351067,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US02079K3059,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US37045V1008,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US7495271071,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US8851601018,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US30212P3038,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US3453708600,,,,,,,,Quasi Play,,,,,,,,,,,,,1.3043478260869565
US01609W1027,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
NL0009805522,,,,,,,,Marginal ,,,,,,,,,,,,,1.3043478260869565
US42806J1060,,,,,,,,Marginal,,,,,,,,,,,,,1.3043478260869565
