ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,Weight
US0970231058,,1159.771817,,,,,,,,United States,,,,,,,,,,,0.20175385766571124
US9130171096,,2157.272797,,,,,,,,United States,,,,,,,,,,,0.3752790871896561
US5398301094,,1038.195898,,,,,,,,United States,,,,,,,,,,,0.1806045157883132
US3695501086,,47884.71105,,,,,,,,Netherlands,,,,,,,,,,,7.307775558925345
US7551115071,,10976.51896,,,,,,,,United States,,,,,,,,,,,1.9094747875916187
US6668071029,,1223.659607,,,,,,,,China,,,,,,,,,,,0.5449149616033044
US7743411016,,24694.74914,,,,,,,,United Kingdom,,,,,,,,,,,7.307775558925345
US5024131071,,3818.1161909999996,,,,,,,,Canada,,,,,,,,,,,1.7002674810166543
US8832031012,,5408.355789,,,,,,,,United States,,,,,,,,,,,0.940837350990252
US8936411003,,4415.040215999999,,,,,,,,Canada,,,,,,,,,,,1.966087183082676
US03965L1008,,4192.1923990000005,,,,,,,,United Kingdom,,,,,,,,,,,1.86684952830575
US4464131063,,1074.0272539999999,,,,,,,,United States,,,,,,,,,,,0.186837737006857
US8485741099,,3866.229225,,,,,,,,United States,,,,,,,,,,,0.6725690772357014
US68557N1037,,3553.3030310000004,,,,,,,,France,,,,,,,,,,,1.582341995785328
US05605H1005,,2095.209397,,,,,,,,United States,,,,,,,,,,,0.3644825406739459
US8793601050,,3423.479549,,,,,,,,Israel,,,,,,,,,,,1.5245295475321126
US4282911084,,1745.988797,,,,,,,,Brazil,,,,,,,,,,,0.7775164047537728
US2315611010,,2544.853952,,,,,,,,United States,,,,,,,,,,,0.44270268899958165
US2974251009,,59895.821410000004,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
US6153942023,,2206.378789,,,,,,,,United States,,,,,,,,,,,0.38382156354171026
US4825391034,,4788.169931,,,,,,,,United States,,,,,,,,,,,0.8329498445970709
US5893781089,,9491.194031,,,,,,,,United States,,,,,,,,,,,1.6510877239294237
US4228061093,,2388.26889,,,,,,,,United States,,,,,,,,,,,0.41546315804336026
US0078001056,,14069.362669999999,,,,,,,,United States,,,,,,,,,,,2.447505752392714
US25389M8771,,6705.515794,,,,,,,,Italy,,,,,,,,,,,2.9860721564357893
US8968181011,,87870.68072,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
US0003611052,,1987.79867,,,,,,,,Canada,,,,,,,,,,,0.8851981627421239
US2296691064,,5094.589633,,,,,,,,United Kingdom,,,,,,,,,,,2.26870127801055
US0080731088,,2242.707644,,,,,,,,United States,,,,,,,,,,,0.39014132966586695
GB0002634946,,2409.626255,,,,,,,,United States,,,,,,,,,,,0.41917848438183836
GB00B63H8491,,7180.339667,,,,,,,,Germany,,,,,,,,,,,3.197518731156407
GB0005758098,,47143.77493,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
GB00B07KD360,,6359.700614,,,,,,,,United States,,,,,,,,,,,1.1063332576855438
GB0009123323,,1639.6989640000002,,,,,,,,United Kingdom,,,,,,,,,,,0.7301838623239265
GB00B0WMWD03,,52727.84687,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
GB0007958233,,21241.63336,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
SE0000112385,,21286.09134,,,,,,,,United Kingdom,,,,,,,,,,,7.307775558925345
NL0000235190,,2773.418018,,,,,,,,Sweden,,,,,,,,,,,1.2350468742639327
IT0003856405,,30755.85463,,,,,,,,France,,,,,,,,,,,7.307775558925345
IL0010811243,,1472.813794,,,,,,,,United Kingdom,,,,,,,,,,,0.6558672586847323
DE000A0D9PT0,,8753.478007,,,,,,,,United States,,,,,,,,,,,1.5227546746846077
FR0000073272,,4891.504773,,,,,,,,United States,,,,,,,,,,,0.8509259694685175
FR0000121329,,12947.6261,,,,,,,,United States,,,,,,,,,,,2.2523685047334165
FR0000125684,,10823.67306,,,,,,,,France,,,,,,,,,,,4.819952669972066
FR0000121725,,141420.6814,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
CNE1000001Y8,,12928.59396,,,,,,,,United States,,,,,,,,,,,2.2490576744404667
CA1247651088,,1268.673031,,,,,,,,United States,,,,,,,,,,,0.2206983083817258
CA0977512007,,1837.273377,,,,,,,,United Kingdom,,,,,,,,,,,0.8181668708810523
CA5542821031,,95578.03762,,,,,,,,United States,,,,,,,,,,,2.8547388729874426
US29082A1079,,7207.655263,,,,,,,,France,,,,,,,,,,,3.2096827977484255
