ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry
US78781P1057,,2,,,,,,Quasi Play,,,,,,
US1013881065,,2,,,,,,Quasi Play,,,,,,
US03782L1017,,2,,,,,,Quasi Play,,,,,,
US8742242071,,2,,,,,,Quasi Play,,,,,,
IL0010834765,,2,,,,,,Quasi Play,,,,,,
US60739U2042,,2,,,,,,Quasi Play,,,,,,
KYG9T20A1060,,2,,,,,,Quasi Play,,,,,,
US9092143067,,2,,,,,,Quasi Play,,,,,,
US74727D3061,,2,,,,,,Quasi Play,,,,,,
US3383071012,,2,,,,,,Quasi Play,,,,,,
US74736A1034,,2,,,,,,Quasi Play,,,,,,
US10316T1043,,0.5,,,,,,Pure Play,,,,,,
US78463M1071,,0.5,,,,,,Pure Play,,,,,,
US18914U1007,,0.5,,,,,,Pure Play,,,,,,
US1263491094,,1,,,,,,Pure Play,,,,,,
US0116421050,,1,,,,,,Pure Play,,,,,,
GB00BYZFZ918,,1,,,,,,Pure Play,,,,,,
US98139A1051,,1,,,,,,Pure Play,,,,,,
CA49448Q1090,,1,,,,,,Pure Play,,,,,,
US45781U1034,,1,,,,,,Pure Play,,,,,,
DE000A2GS401,,1,,,,,,Pure Play,,,,,,
SG1AF6000009,,1,,,,,,Pure Play,,,,,,
US8733791011,,3,,,,,,Pure Play,,,,,,
US90214J1016,,3,,,,,,Pure Play,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
