ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Excess Weight,Total Weight,Cap 2,Excess Weight 2,Total Weight 2
US74736A2024,109.53,,,,,,,,,,,,REITS-Data Centers,,"QTS Realty Trust, Inc.",,,,,0.5530939811466531,0,0.0,0.0,0,0,0
US48251W2035,368.05,,,,,,,,,,,,REITS-Diversified,,"KKR & Co., Inc.",,,,,1.8585432279834353,0,0.0,0.0,0,0,0
US0441038850,124.09,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.6266176583628975,0,0.0,0.0,0,0,0
US4278257088,95.61,,,,,,,,,,,,REITS-Hotels,,Hersha Hospitality Trust,,,,,0.48280211391793565,0,0.0,0.0,0,0,0
US19626G5045,282.85,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,1.4283085233938724,0,0.0,0.0,0,0,0
US19626G7025,251.05,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,1.2677279646386126,0,0.0,0.0,0,0,0
US2538688555,189.31,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",,,,,0.9559592949043448,0,0.0,0.0,0,0,0
US19626G3065,249.6,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,1.2604058951356212,0,0.0,0.0,0,0,0
US2538688480,211.31,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",,,,,1.0670527632255935,0,0.0,0.0,0,0,0
US69360J5781,186.8,,,,,,,,,,,,REITS-Diversified,,"PS Business Parks, Inc.",,,,,0.9432845401095115,0,0.0,0.0,0,0,0
US48251W3025,164.61,,,,,,,,,,,,REITS-Diversified,,"KKR & Co., Inc.",,,,,0.8312316281982156,0,0.0,0.0,0,0,0
US9290428443,295.74,,,,,,,,,,,,REITS-Diversified,,Vornado Realty Trust,,,,,1.493399196423913,0,0.0,0.0,0,0,0
US03939A1079,313.1,,,,,,,,,,,,REITS-Diversified,,Arch Capital Group Ltd.,,,,,1.581062042335589,0,0.0,0.0,0,0,0
US3793783008,136.24,,,,,,,,,,,,REITS-Diversified,,"Global Net Lease, Inc.",,,,,0.68797155109486,0,0.0,0.0,0,0,0
US19626G6035,309.53,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,1.5630346022489134,0,0.0,0.0,0,0,0
US84860W2017,160.98,,,,,,,,,,,,REITS-Diversified,,"Spirit Realty Capital, Inc.",,,,,0.8129012059252095,0,0.0,0.0,0,0,0
US26884U5056,143.25,,,,,,,,,,,,REITS-Diversified,,EPR Properties,,,,,0.7233699698644942,0,0.0,0.0,0,0,0
US31154R2085,135.83,,,,,,,,,,,,REITS-Farmlands,,"Farmland Partners, Inc.",,,,,0.6859011728216003,0,0.0,0.0,0,0,0
US4278256098,181.0,,,,,,,,,,,,REITS-Hotels,,Hersha Hospitality Trust,,,,,0.9139962620975459,0,0.0,0.0,0,0,0
US8660826053,145.54,,,,,,,,,,,,REITS-Hotels,,"Summit Hotel Properties, Inc.",,,,,0.734933789976115,0,0.0,0.0,0,0,0
US0441037035,142.51,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.7196331895664158,0,0.0,0.0,0,0,0
US70509V5066,128.1,,,,,,,,,,,,REITS-Hotels,,Pebblebrook Hotel Trust,,,,,0.6468669678159978,0,0.0,0.0,0,0,0
US2538688639,258.6,,,,,,,,,,,,REITS-Diversified,,"Digital Realty Trust, Inc.",,,,,1.3058532230852231,0,0.0,0.0,0,0,0
US0441036045,110.88,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.5599110803390933,0,0.0,0.0,0,0,0
US69360J5948,223.01,,,,,,,,,,,,REITS-Diversified,,"PS Business Parks, Inc.",,,,,1.1261342895600757,0,0.0,0.0,0,0,0
US0441038025,87.59,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.4423034950117351,0,0.0,0.0,0,0,0
US6097204043,276.43,,,,,,,,,,,,REITS-Industrial,,Monmouth Real Estate Investment Corp.,,,,,1.3958894294564896,0,0.0,0.0,0,0,0
US0376125045,296.16,,,,,,,,,,,,REITS-Mortgage,,Apollo Global Management LLC,,,,,1.4955200717282278,0,0.0,0.0,0,0,0
US0357108705,731.81,,,,,,,,,,,,REITS-Mortgage,,"Annaly Capital Management, Inc.",,,,,3.695423229644226,0,0.0,0.0,0,0,0
US0357108622,411.06,,,,,,,,,,,,REITS-Mortgage,,"Annaly Capital Management, Inc.",,,,,2.075730958551476,0,0.0,0.0,0,0,0
US16934Q4064,331.76,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,,,,,1.6752895022844299,0,0.0,0.0,0,0,0
US90187B3096,291.76,,,,,,,,,,,,REITS-Mortgage,,Two Harbors Investment Corp.,,,,,1.4733013780639779,0,0.0,0.0,0,0,0
US90187B5075,286.98,,,,,,,,,,,,REITS-Mortgage,,Two Harbors Investment Corp.,,,,,1.449163797219634,0,0.0,0.0,0,0,0
US46131B5066,281.75,,,,,,,,,,,,REITS-Mortgage,,"Invesco Mortgage Capital, Inc.",,,,,1.4227538499778094,0,0.0,0.0,0,0,0
US14067E6059,259.1,,,,,,,,,,,,REITS-Mortgage,,Capstead Mortgage Corp.,,,,,1.308378074637979,0,0.0,0.0,0,0,0
US70931T4004,195.39,,,,,,,,,,,,REITS-Mortgage,,PennyMac Mortgage Investment Trust,,,,,0.9866614897858534,0,0.0,0.0,0,0,0
US0423154089,158.46,,,,,,,,,,,,REITS-Mortgage,,"ARMOUR Residential REIT, Inc.",,,,,0.8001759540993212,0,0.0,0.0,0,0,0
US90187B2007,152.89,,,,,,,,,,,,REITS-Mortgage,,Two Harbors Investment Corp.,,,,,0.7720491078016231,0,0.0,0.0,0,0,0
US16934Q3074,147.67,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,,,,,0.745689657590854,0,0.0,0.0,0,0,0
US6496048819,136.91,,,,,,,,,,,,REITS-Mortgage,,"New York Mortgage Trust, Inc.",,,,,0.6913548521755526,0,0.0,0.0,0,0,0
US70931T3014,116.33,,,,,,,,,,,,REITS-Mortgage,,PennyMac Mortgage Investment Trust,,,,,0.58743196226413,0,0.0,0.0,0,0,0
US55272X4097,198.8,,,,,,,,,,,,REITS-Mortgage,,"MFA Financial, Inc.",,,,,1.003880977375647,0,0.0,0.0,0,0,0
US46131B4077,163.0,,,,,,,,,,,,REITS-Mortgage,,"Invesco Mortgage Capital, Inc.",,,,,0.8231016061983424,0,0.0,0.0,0,0,0
US9290428286,295.98,,,,,,,,,,,,REITS-Office Property,,Vornado Realty Trust,,,,,1.4946111251692356,0,0.0,0.0,0,0,0
US69360J6284,178.06,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,0.8991501349673426,0,0.0,0.0,0,0,0
US1011214087,199.68,,,,,,,,,,,,REITS-Office Property,,"Boston Properties, Inc.",,,,,1.008324716108497,0,0.0,0.0,0,0,0
US69360J6441,112.07,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,0.5659202270346517,0,0.0,0.0,0,0,0
US1248308033,64.86,,,,,,,,,,,,REITS-Regional Malls,,"CBL & Associates Properties, Inc.",,,,,0.32752374342346313,0,0.0,0.0,0,0,0
US69360J6698,230.28,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,1.162845631137143,0,0.0,0.0,0,0,0
US00123Q5009,339.95,,,,,,,,,,,,REITS-Residential,,AGNC Investment Corp.,,,,,1.7166465707185674,0,0.0,0.0,0,0,0
US02665T7028,278.21,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,,,,,1.4048779009842993,0,0.0,0.0,0,0,0
US02665T8018,234.14,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,,,,,1.1823374851244164,0,0.0,0.0,0,0,0
US02665T8844,150.6,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,,,,,0.7604852876900023,0,0.0,0.0,0,0,0
US02665T8760,112.24,,,,,,,,,,,,REITS-Residential,,American Homes 4 Rent,,,,,0.5667786765625886,0,0.0,0.0,0,0,0
US49446R7456,174.58,,,,,,,,,,,,REITS-Shopping Centers,,Kimco Realty Corp.,,,,,0.8815771681601633,0,0.0,0.0,0,0,0
US93964W2070,87.68,,,,,,,,,,,,REITS-Shopping Centers,,"Washington Prime Group, Inc.",,,,,0.4427579682912311,0,0.0,0.0,0,0,0
US49446R7944,406.96,,,,,,,,,,,,REITS-Shopping Centers,,Kimco Realty Corp.,,,,,2.05502717581888,0,0.0,0.0,0,0,0
US6374178746,331.48,,,,,,,,,,,,REITS-Shopping Centers,,"National Retail Properties, Inc.",,,,,1.6738755854148868,0,0.0,0.0,0,0,0
US49446R7118,247.89,,,,,,,,,,,,REITS-Shopping Centers,,Kimco Realty Corp.,,,,,1.2517709028251969,0,0.0,0.0,0,0,0
US49446R7787,222.37,,,,,,,,,,,,REITS-Shopping Centers,,Kimco Realty Corp.,,,,,1.1229024795725484,0,0.0,0.0,0,0,0
US49446R7373,210.33,,,,,,,,,,,,REITS-Shopping Centers,,Kimco Realty Corp.,,,,,1.0621040541821924,0,0.0,0.0,0,0,0
US1248306052,190.94,,,,,,,,,,,,REITS-Shopping Centers,,"CBL & Associates Properties, Inc.",,,,,0.9641903109663282,0,0.0,0.0,0,0,0
US3137477010,141.96,,,,,,,,,,,,REITS-Shopping Centers,,Federal Realty Investment Trust,,,,,0.7168558528583846,0,0.0,0.0,0,0,0
US7091026028,138.21,,,,,,,,,,,,REITS-Shopping Centers,,Pennsylvania Real Estate Investment Trust,,,,,0.6979194662127173,0,0.0,0.0,0,0,0
US1506025063,105.9,,,,,,,,,,,,REITS-Shopping Centers,,"Cedar Realty Trust, Inc.",,,,,0.534763558873647,0,0.0,0.0,0,0,0
US7091027018,104.15,,,,,,,,,,,,REITS-Shopping Centers,,Pennsylvania Real Estate Investment Trust,,,,,0.5259265784390023,0,0.0,0.0,0,0,0
US6374178092,289.0,,,,,,,,,,,,REITS-Single Tenant,,"National Retail Properties, Inc.",,,,,1.4593641974927665,0,0.0,0.0,0,0,0
US6378702053,170.43,,,,,,,,,,,,REITS-Storage,,National Storage Affiliates Trust,,,,,0.8606209002722915,0,0.0,0.0,0,0,0
US74460W8753,494.6,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,1.4491692035429347,1,6.07185406544226,16.07185406544226,0,0,0
US74460W8001,491.83,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,1.4410531528073625,1,6.07185406544226,16.07185406544226,0,0,0
US74460W7193,330.82,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.9692967163689317,1,6.07185406544226,16.07185406544226,0,0,0
US74460W7359,314.08,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.9202488140896984,1,6.07185406544226,16.07185406544226,0,0,0
US74460W7763,300.24,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.8796978602339885,1,6.07185406544226,16.07185406544226,0,0,0
US74460W6690,298.56,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.8747754901127751,1,6.07185406544226,16.07185406544226,0,0,0
US74460W6856,276.75,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.8108725780034516,1,6.07185406544226,16.07185406544226,0,0,0
US74460W1071,222.75,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.6526535383930219,1,6.07185406544226,16.07185406544226,0,0,0
US74460W7920,197.6,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.5789644856855718,1,6.07185406544226,16.07185406544226,0,0,0
US74460W7508,195.84,,,,,,,,,,,,REITS-Storage,,Public Storage,,,,,0.5738077169871579,1,6.07185406544226,16.07185406544226,0,0,0
US81721M2089,316.4,,,,,,,,,,,,REITS-Health Care,,Senior Housing Properties Trust,,,,,1.5977260625837764,0,0.0,0.0,0,0,0
US16934Q5053,257.4,,,,,,,,,,,,REITS-Mortgage,,Chimera Investment Corp.,,,,,1.2997935793586093,0,0.0,0.0,0,0,0
US81721M3079,254.9,,,,,,,,,,,,REITS-Health Care,,Senior Housing Properties Trust,,,,,1.2871693215948312,0,0.0,0.0,0,0,0
US90187B7055,195.84,,,,,,,,,,,,REITS-Mortgage,,Two Harbors Investment Corp.,,,,,0.9889338561833336,0,0.0,0.0,0,0,0
US19626G2075,151.63,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,0.7656864818886788,0,0.0,0.0,0,0,0
US09627J5083,149.78,,,,,,,,,,,,REITS-Residential,,"Bluerock Residential Growth REIT, Inc.",,,,,0.756344531143483,0,0.0,0.0,0,0,0
