ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight,Cap
US78781P1057,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
US1013881065,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
US03782L1017,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
US8742242071,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
IL0010834765,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
US60739U2042,,2.0,,,,,,Quasi Play,,,,,,,2.0,1
SDVSD,,10.0,,,,,,Pure Play,,,,,,,4.9,1
FSRGSFG,,4.0,,,,,,Pure Play,,,,,,,4.9,1
fsSD,,3.0,,,,,,Pure Play,,,,,,,4.9,1
adfAD,,3.0,,,,,,Pure Play,,,,,,,4.9,1
US3383071012,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US74736A1034,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US74346Y1038,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US5381461012,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US09239B1098,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US2829141009,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US78489X1037,,1.0,,,,,,Pure Play,,,,,,,4.9,1
US10316T1043,,1.0,,,,,,Pure Play,,,,,,,4.9,1
adasdf,,0.5,,,,,,Pure Play,,,,,,,4.9,1
asdfas,,0.5,,,,,,Pure Play,,,,,,,4.9,1
dfthh,,0.5,,,,,,Pure Play,,,,,,,4.9,1
