ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),weight
US0376125045,159.60714,,,,,,,,,,,,REITS-Mortgage,,Apollo Global Management LLC,,,,,0.011627906976744186
US48251W2035,238.7906,,,,,,,,,,,,REITS-Diversified,,"KKR & Co., Inc.",,,,,0.011627906976744186
US48251W3025,201.96,,,,,,,,,,,,REITS-Diversified,,"KKR & Co., Inc.",,,,,0.011627906976744186
US3793783008,94.32714,,,,,,,,,,,,REITS-Diversified,,"Global Net Lease, Inc.",,,,,0.011627906976744186
US69360J6284,226.96400000000003,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,0.011627906976744186
US69360J6441,126.0,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,0.011627906976744186
US69360J6698,82.179,,,,,,,,,,,,REITS-Office Property,,"PS Business Parks, Inc.",,,,,0.011627906976744186
US19626G3065,318.504,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,0.011627906976744186
US19626G5045,265.075,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,0.011627906976744186
US19626G6035,130.78,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,0.011627906976744186
US19626G7025,197.1792,,,,,,,,,,,,REITS-Diversified,,"Colony Capital, Inc.",,,,,0.011627906976744186
US69360J5781,173.1279,,,,,,,,,,,,REITS-Diversified,,"PS Business Parks, Inc.",,,,,0.011627906976744186
US69360J5948,107.8,,,,,,,,,,,,REITS-Diversified,,"PS Business Parks, Inc.",,,,,0.011627906976744186
US95040Q2030,885.192,,,,,,,,,,,,REITS-Health Care,,"Welltower, Inc.",,,,,0.011627906976744186
US0441036045,93.214,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.011627906976744186
US0441037035,131.22,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.011627906976744186
US0441038025,195.592,,,,,,,,,,,,REITS-Hotels,,"Ashford Hospitality Trust, Inc.",,,,,0.011627906976744186
US4278256098,142.352,,,,,,,,,,,,REITS-Hotels,,Hersha Hospitality Trust,,,,,0.011627906976744186
US4278257088,281.75,,,,,,,,,,,,REITS-Hotels,,Hersha Hospitality Trust,,,,,0.011627906976744186
