ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,Weight,Cap,Flag
DK0060094928,,35892498.42,,,,,,,,,,,,,,,,,,,6.0,1,0
PTEDP0AM0009,,14080672.69,,,,,,,,,,,,,,,,,,,6.0,1,0
CLP371861061,,11010965.94,,,,,,,,,,,,,,,,,,,6.0,1,0
BREGIEACNOR9,,7360289.653,,,,,,,,,,,,,,,,,,,5.9449920745942695,1,0
BMG162581083,,7101574.538,,,,,,,,,,,,,,,,,,,5.736024849014248,1,0
AU000000AGL7,,6877634.927999999,,,,,,,,,,,,,,,,,,,5.5551462057267385,1,0
NZMELE0002S7,,6810967.46,,,,,,,,,,,,,,,,,,,4.5,3,2
CA0158571053,,6180245.424,,,,,,,,,,,,,,,,,,,4.5,3,2
CL0002266774,,5506598.635,,,,,,,,,,,,,,,,,,,4.5,3,2
US4198701009,,4348022.7,,,,,,,,,,,,,,,,,,,3.6135157400761075,0,0
US4511071064,,4204698.1,,,,,,,,,,,,,,,,,,,3.4944028159324243,0,0
NZMRPE0001S2,,3678328.2260000003,,,,,,,,,,,,,,,,,,,3.0569520581889384,0,0
CA6665111002,,3430308.647,,,,,,,,,,,,,,,,,,,2.850830169137267,0,0
IT0001207098,,3152920.4930000002,,,,,,,,,,,,,,,,,,,2.620300907965366,0,0
US6680743050,,3116046.45,,,,,,,,,,,,,,,,,,,2.589655958761043,0,0
US88104R2094,,3065094.0,,,,,,,,,,,,,,,,,,,2.547310853232858,0,0
US65341B1061,,2946183.84,,,,,,,,,,,,,,,,,,,2.448488063090809,0,0
US05379B1070,,2845629.06,,,,,,,,,,,,,,,,,,,2.3649198976647425,0,0
RU000A0JPKH7,,2715949.251,,,,,,,,,,,,,,,,,,,2.257146764145554,0,0
NZCENE0001S6,,2709166.76,,,,,,,,,,,,,,,,,,,2.2515100323075568,0,0
GB00B8SC6K54,,2512773.076,,,,,,,,,,,,,,,,,,,2.088292929419494,0,0
GG00BBHX2H91,,2504045.565,,,,,,,,,,,,,,,,,,,2.081039747790477,0,0
IT0001157020,,2352068.765,,,,,,,,,,,,,,,,,,,1.9547362308087468,0,0
CA8934631091,,2318451.9269999997,,,,,,,,,,,,,,,,,,,1.9267982503459056,0,0
GB00BLP5YB54,,2133634.86,,,,,,,,,,,,,,,,,,,1.7732021385686607,0,0
CA45790B1040,,2000087.0559999999,,,,,,,,,,,,,,,,,,,1.6622144264284735,0,0
CLP3615W1037,,1968114.551,,,,,,,,,,,,,,,,,,,1.6356430034993426,0,0
CNE100000HD4,,1878890.87,,,,,,,,,,,,,,,,,,,1.5614917862848996,0,0
US41068X1000,,1733553.92,,,,,,,,,,,,,,,,,,,1.4407064563371847,0,0
CA09950M3003,,1640475.6230000001,,,,,,,,,,,,,,,,,,,1.3633517794011651,0,0
DE0006095003,,1182988.886,,,,,,,,,,,,,,,,,,,0.9831478018493555,0,0
IT0003198790,,1171591.096,,,,,,,,,,,,,,,,,,,0.9736754286791138,0,0
TH7411010005,,759450.0807,,,,,,,,,,,,,,,,,,,0.6311569671454382,0,0
CNE100000PP1,,693479.4927,,,,,,,,,,,,,,,,,,,0.5763307220754491,0,0
US18539C1053,,622108.0,,,,,,,,,,,,,,,,,,,0.5170159415283797,0,0
