ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,cap,weight
AEA000201011,14433.76817,,,,,7.44371013,4.78246134,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CNE1000029W3,65823.22162000001,,,,,18.33279447,16.28541688,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
RU000A0JP5V6,9754.256438,,,,,21.20153748,23.17864042,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CH0002497458,20457.922880000002,,,,,124.7578946,355.51712779999997,Active Enablers,,,,,,,,,,,,,0.0,1.5625
US0231351067,1062760.612,,,,,6887.1535650000005,10058.813470000001,Active Enablers,,,,,,,,,,,,,0.0,1.5625
CH0024608827,25658.11495,,,,,68.89628596,61.83013952,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
CH0008742519,30136.432439999997,,,,,78.14835351,96.21726218,Active Enablers,,,,,,,,,,,,,0.0,1.5625
US57636Q1040,342691.9055,,,,,1008.0358470000001,1196.97804,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
KR7006400006,19581.92941,,,,,80.98142583,161.9270243,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US67066G1040,177351.4752,,,,,2026.7111559999998,2589.2158,Active Enablers,,,,,,,,,,,,,0.0,1.5625
US01609W1027,589206.4543,,,,,3245.686177,3562.0784,Active Enablers,,,,,,,,,,,,,0.0,1.5625
IE00BDB6Q211,27472.13005,,,,,120.19123970000001,149.68858669999997,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US12572Q1058,76378.05466000001,,,,,273.1569032,308.33576,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
DE0008404005,104513.2878,,,,,241.24071719999998,258.7365701,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US92826C8394,412695.593,,,,,1543.310921,1753.9855329999998,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
IE00B4BNMY34,135067.9921,,,,,398.7566032,367.38570669999996,Active Enablers,,,,,,,,,,,,,0.0,1.5625
US38141G1040,87408.66458,,,,,600.2654516,646.25558,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US79466L3024,168485.6504,,,,,845.7861419,750.7828732999999,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US5949181045,1409780.81,,,,,4171.498113000001,6427.594333,Active Enablers,,,,,,,,,,,,,0.0,1.5625
KR7034730002,13793.571430000002,,,,,34.72292062,37.31273338,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
US4385161066,128845.1686,,,,,458.5158081,508.6146267,Active Enablers,,,,,,,,,,,,,0.0,1.5625
DE0005810055,31623.611460000004,,,,,74.23437592,70.56604669,Active Users,,,,,,,,,,,,,0.0,0.7352941176470589
