ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,weight
CNE100000HD4,,,,,,,,,,,,,,,,,,,,,0.01
CNE100000PP1,,,,,,,,,,,,,,,,,,,,,0.01
JP3637300009,,,,,,,,,,,,,,,,,,,,,0.01
JP3197800000,,,,,,,,,,,,,,,,,,,,,0.01
JP3236200006,,,,,,,,,,,,,,,,,,,,,0.01
JP3802400006,,,,,,,,,,,,,,,,,,,,,0.01
JP3311530004,,,,,,,,,,,,,,,,,,,,,0.01
US0003752047,,,,,,,,,,,,,,,,,,,,,0.01
US0036541003,,,,,,,,,,,,,,,,,,,,,0.01
US00724F1012,,,,,,,,,,,,,,,,,,,,,0.01
US0527691069,,,,,,,,,,,,,,,,,,,,,0.01
US00090Q1031,,,,,,,,,,,,,,,,,,,,,0.01
NL0012969182,,,,,,,,,,,,,,,,,,,,,0.01
US0162551016,,,,,,,,,,,,,,,,,,,,,0.01
US0116421050,,,,,,,,,,,,,,,,,,,,,0.01
AT0000A18XM4,,,,,,,,,,,,,,,,,,,,,0.01
US03662Q1058,,,,,,,,,,,,,,,,,,,,,0.01
CA0019401052,,,,,,,,,,,,,,,,,,,,,0.01
US0080731088,,,,,,,,,,,,,,,,,,,,,0.01
GB00BDD85M81,,,,,,,,,,,,,,,,,,,,,0.01
US0258161092,,,,,,,,,,,,,,,,,,,,,0.01
BMG162581083,,,,,,,,,,,,,,,,,,,,,0.01
US09215C1053,,,,,,,,,,,,,,,,,,,,,0.01
US1143401024,,,,,,,,,,,,,,,,,,,,,0.01
US1011371077,,,,,,,,,,,,,,,,,,,,,0.01
US1924221039,,,,,,,,,,,,,,,,,,,,,0.01
IL0010824113,,,,,,,,,,,,,,,,,,,,,0.01
AU000000COH5,,,,,,,,,,,,,,,,,,,,,0.01
US79466L3024,,,,,,,,,,,,,,,,,,,,,0.01
IL0011334468,,,,,,,,,,,,,,,,,,,,,0.01
FR0000130650,,,,,,,,,,,,,,,,,,,,,0.01
US88554D2053,,,,,,,,,,,,,,,,,,,,,0.01
DK0060738599,,,,,,,,,,,,,,,,,,,,,0.01
US2538681030,,,,,,,,,,,,,,,,,,,,,0.01
US2521311074,,,,,,,,,,,,,,,,,,,,,0.01
US29444U7000,,,,,,,,,,,,,,,,,,,,,0.01
GB00B19NLV48,,,,,,,,,,,,,,,,,,,,,0.01
US3116421021,,,,,,,,,,,,,,,,,,,,,0.01
US31620M1062,,,,,,,,,,,,,,,,,,,,,0.01
US3377381088,,,,,,,,,,,,,,,,,,,,,0.01
US3390411052,,,,,,,,,,,,,,,,,,,,,0.01
US3364331070,,,,,,,,,,,,,,,,,,,,,0.01
