ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,Product,Weight
US8835561023,,101820.7884,,,516.2849988,,,,,,,,,,,,,,,,52568545.61690906,0.099
US00287Y1091,,95405.6265,,,788.0308485,,,,,,,,,,,,,,,,75182576.80246909,0.099
US00846U1016,,19622.58387,,,159.2854749,,,,,,,,,,,,,,,,3125592.5904980297,0.099
US5926881054,,14134.64121,,,135.31940930000002,,,,,,,,,,,,,,,,1912691.2992046375,0.099
US9418481035,,10091.98051,,,113.9753743,,,,,,,,,,,,,,,,1150237.2560555548,0.099
US7140461093,,7551.9764,,,61.56791036,,,,,,,,,,,,,,,,464959.40603603545,0.07545355517501284
US1488061029,,6352.88901,,,47.72965973,,,,,,,,,,,,,,,,303221.23074975656,0.058071692490075516
US1167941087,,4906.18512,,,29.35603648,,,,,,,,,,,,,,,,144026.14936035319,0.03540327637804
CA1380351009,,4360.2667710000005,,,51.17333576,,,,,,,,,,,,,,,,223129.39547555405,0.06150857093436505
US8101861065,,4314.80556,,,44.99288715,,,,,,,,,,,,,,,,194135.55963527254,0.05406478243341807
US0400476075,,2007.95004,,,21.90896302,,,,,,,,,,,,,,,,43992.103172367526,0.025953248444800684
CA22717L1013,,1777.854982,,,8.230541962,,,,,,,,,,,,,,,,14632.710031701756,0.009735874555260739
US45781V1017,,1032.020283,,,39.71253286,,,,,,,,,,,,,,,,40984.139400824,0.04675707770575051
CA05156X1087,,804.0549053,,,20.86825475,,,,,,,,,,,,,,,,16779.222596787524,0.02453491330862287
CA03765K1049,,647.1729134999999,,,14.00195062,,,,,,,,,,,,,,,,9061.683177428531,0.01644594383744768
US1407551092,,516.7785,,,11.01635488,,,,,,,,,,,,,,,,5693.01535035408,0.012928615097638116
US88688T1007,,364.36400000000003,,,48.69161546,,,,,,,,,,,,,,,,17741.471775467442,0.05708888757644632
US21833P1030,,348.6790645,,,4.306333633,,,,,,,,,,,,,,,,1501.5283825793265,0.005048497742725118
CA68620P1018,,243.0488893,,,4.382557789,,,,,,,,,,,,,,,,1065.1758029095138,0.0051344401379381024
CA4283041099,,172.21092130000002,,,5.18313327,,,,,,,,,,,,,,,,892.5921556473818,0.006069653068497543
CA92707Y1088,,126.86868340000001,,,3.726171217,,,,,,,,,,,,,,,,472.7344364237657,0.004362245557990311
US98986X1090,,86.21562246,,,3.4678836239999997,,,,,,,,,,,,,,,,298.9857452620006,0.0040588260604535135
CA3932102088,,61.47168011,,,2.033716895,,,,,,,,,,,,,,,,125.01599440374245,0.0023798994955173446
