ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,weight
US88160R1014,,6353234.006,,,,,,,,,,,,,,,,,,,4.5
US94106L1098,,3721877.336,,,,,,,,,,,,,,,,,,,4.5
US2788651006,,3588739.4639999997,,,,,,,,,,,,,,,,,,,4.5
US7607591002,,2106458.215,,,,,,,,,,,,,,,,,,,4.5
CA94106B1013,,1902085.803,,,,,,,,,,,,,,,,,,,4.5
DK0060094928,,1467661.9740000002,,,,,,,,,,,,,,,,,,,4.5
DK0010268606,,1386988.596,,,,,,,,,,,,,,,,,,,4.5
FR0000124141,,956611.4124,,,,,,,,,,,,,,,,,,,4.465138338486221
KR7006400006,,931851.3342,,,,,,,,,,,,,,,,,,,4.349566672706733
PTEDP0AM0009,,818125.298,,,,,,,,,,,,,,,,,,,3.818732022671889
BE0974320526,,773425.0179,,,,,,,,,,,,,,,,,,,3.6100862425480322
KYG2116J1085,,669936.9195,,,,,,,,,,,,,,,,,,,3.12703882146034
GB00B1FH8J72,,554242.8978,,,,,,,,,,,,,,,,,,,2.5870182811133695
BMG162581083,,540959.5237,,,,,,,,,,,,,,,,,,,2.525015986148521
GB00B18V8630,,475627.9829,,,,,,,,,,,,,,,,,,,2.2200704630686867
AT0000746409,,434902.03,,,,,,,,,,,,,,,,,,,2.029975497330252
US4511071064,,372510.0265,,,,,,,,,,,,,,,,,,,1.73875073957425
FR0010613471,,348542.9495,,,,,,,,,,,,,,,,,,,1.6268805350304194
US6866881021,,322344.0037,,,,,,,,,,,,,,,,,,,1.504592722232941
ES0143416115,,300170.728,,,,,,,,,,,,,,,,,,,1.4010953751027186
US00790X1019,,278710.9036,,,,,,,,,,,,,,,,,,,1.300928177196078
US29355A1079,,266549.9025,,,,,,,,,,,,,,,,,,,1.2441647395639142
US88104R2094,,262646.44800000003,,,,,,,,,,,,,,,,,,,1.2259447349574897
US3364331070,,245301.6022,,,,,,,,,,,,,,,,,,,1.1449848645724938
CA6665111002,,243942.0175,,,,,,,,,,,,,,,,,,,1.1386387833009368
US65341B1061,,207630.1884,,,,,,,,,,,,,,,,,,,0.9691474536416028
US1844961078,,203921.9323,,,,,,,,,,,,,,,,,,,0.9518385691077103
BRSBSPACNOR5,,201339.1399,,,,,,,,,,,,,,,,,,,0.9397829682481539
KYG9829N1025,,192257.6516,,,,,,,,,,,,,,,,,,,0.8973936542035831
JP3270000007,,185941.0991,,,,,,,,,,,,,,,,,,,0.8679101247691489
HK0257001336,,177059.5742,,,,,,,,,,,,,,,,,,,0.8264541722045483
TH3545010003,,176734.2757,,,,,,,,,,,,,,,,,,,0.8249357888934418
US29275Y1029,,175756.7445,,,,,,,,,,,,,,,,,,,0.8203730040660733
US29272W1099,,168302.9242,,,,,,,,,,,,,,,,,,,0.7855810934132239
BMG0957L1090,,167285.0952,,,,,,,,,,,,,,,,,,,0.7808302120929592
AU000000CWY3,,164792.7258,,,,,,,,,,,,,,,,,,,0.7691966751966249
BRELETACNOR6,,162221.1867,,,,,,,,,,,,,,,,,,,0.7571936009331485
US1474481041,,158600.7121,,,,,,,,,,,,,,,,,,,0.7402944507344092
US0079731008,,145533.5038,,,,,,,,,,,,,,,,,,,0.6793011445695462
CA45790B1040,,128624.3648,,,,,,,,,,,,,,,,,,,0.6003750060758919
NZMRPE0001S2,,127178.0646,,,,,,,,,,,,,,,,,,,0.593624166196428
CA09950M3003,,121507.5909,,,,,,,,,,,,,,,,,,,0.5671563139556473
TW0006121007,,120726.7595,,,,,,,,,,,,,,,,,,,0.5635116572279099
GB00BLP5YB54,,106605.6743,,,,,,,,,,,,,,,,,,,0.49759921034484333
RU000A0JPKH7,,102108.0421,,,,,,,,,,,,,,,,,,,0.4766057853152946
US86771W1053,,102040.2942,,,,,,,,,,,,,,,,,,,0.47628956104520875
US22282E1029,,99852.22555,,,,,,,,,,,,,,,,,,,0.46607639706899906
DE000A0TGJ55,,96857.92903,,,,,,,,,,,,,,,,,,,0.4521000342377167
KR7028050003,,87228.35068999999,,,,,,,,,,,,,,,,,,,0.40715242137000457
US91734M1036,,86856.8558,,,,,,,,,,,,,,,,,,,0.4054184089440718
BROMGEACNOR0,,86502.18389,,,,,,,,,,,,,,,,,,,0.4037629204955784
IT0001157020,,85156.1071,,,,,,,,,,,,,,,,,,,0.3974798895765805
SE0006425815,,83585.12856,,,,,,,,,,,,,,,,,,,0.39014709339940085
BRENBRACNOR2,,79307.38207,,,,,,,,,,,,,,,,,,,0.3701800204508325
CA8934631091,,79244.67379,,,,,,,,,,,,,,,,,,,0.3698873194214081
NO0010715139,,79112.91764,,,,,,,,,,,,,,,,,,,0.36927232630187135
KYG2R55E1030,,77505.57806,,,,,,,,,,,,,,,,,,,0.3617698090952051
US75972A3014,,71191.6674,,,,,,,,,,,,,,,,,,,0.33229861087584456
US30057T1051,,66206.23727,,,,,,,,,,,,,,,,,,,0.3090283101886945
CA1366351098,,66099.50975,,,,,,,,,,,,,,,,,,,0.3085301422438568
CNE100000HD4,,62107.373920000005,,,,,,,,,,,,,,,,,,,0.2898962032003574
CL0000000035,,61476.11206,,,,,,,,,,,,,,,,,,,0.28694968646830366
JP3385820000,,61084.734560000004,,,,,,,,,,,,,,,,,,,0.28512286874752557
US47759T1007,,58270.44692,,,,,,,,,,,,,,,,,,,0.27198672644982375
GB00B1VNSX38,,57504.526410000006,,,,,,,,,,,,,,,,,,,0.2684116687104918
CNE100000PP1,,56163.05508,,,,,,,,,,,,,,,,,,,0.26215013452020286
JP3462600002,,55075.55274,,,,,,,,,,,,,,,,,,,0.2570740416275363
US04010E1091,,53484.66005,,,,,,,,,,,,,,,,,,,0.24964829293746502
US8676524064,,52209.95972,,,,,,,,,,,,,,,,,,,0.2436984231786626
US23703Q2030,,51297.66755,,,,,,,,,,,,,,,,,,,0.23944015206526673
US92854Q1067,,49733.01623,,,,,,,,,,,,,,,,,,,0.23213688920980144
TH0961010Y04,,46316.51988,,,,,,,,,,,,,,,,,,,0.21618984045213469
JP3485600005,,45995.95865,,,,,,,,,,,,,,,,,,,0.2146935691142105
IT0003198790,,44395.84006,,,,,,,,,,,,,,,,,,,0.2072247570451507
DE000A0D6554,,42105.87015,,,,,,,,,,,,,,,,,,,0.19653595247248967
ES0165386014,,41499.44178,,,,,,,,,,,,,,,,,,,0.19370535006765394
KYG3774X1088,,40064.79783,,,,,,,,,,,,,,,,,,,0.18700891761850422
AU000000BIN7,,39706.67024,,,,,,,,,,,,,,,,,,,0.18533729922523545
TW0008341009,,38446.249469999995,,,,,,,,,,,,,,,,,,,0.17945408162005172
KYG8655K1094,,38192.49447,,,,,,,,,,,,,,,,,,,0.17826963915533145
GRS496003005,,33139.31692,,,,,,,,,,,,,,,,,,,0.15468311643857316
US87266J1043,,31497.57901,,,,,,,,,,,,,,,,,,,0.14702003946848363
US8068821060,,30443.73236,,,,,,,,,,,,,,,,,,,0.142101039947043
TW0003576005,,30387.474489999997,,,,,,,,,,,,,,,,,,,0.1418384472485633
US7616241052,,27904.87325,,,,,,,,,,,,,,,,,,,0.13025050481738704
BRCMIGACNOR6,,27880.78382,,,,,,,,,,,,,,,,,,,0.13013806351044566
CL0000001256,,25724.51551,,,,,,,,,,,,,,,,,,,0.12007333275954594
VGG9833A1049,,24215.6926,,,,,,,,,,,,,,,,,,,0.11303065802861739
FR0000053381,,23880.41317,,,,,,,,,,,,,,,,,,,0.11146568711399818
DE000A0DJ6J9,,21692.98671,,,,,,,,,,,,,,,,,,,0.10125552066337974
KR7066970005,,20416.8294,,,,,,,,,,,,,,,,,,,0.09529885021500567
US1844991018,,19811.06148,,,,,,,,,,,,,,,,,,,0.09247133056726178
JP3981200003,,19431.87171,,,,,,,,,,,,,,,,,,,0.09070140104557549
TH7411010005,,18212.582919999997,,,,,,,,,,,,,,,,,,,0.08501017360322612
US0937121079,,17633.49119,,,,,,,,,,,,,,,,,,,0.08230716938269723
US3932221043,,14538.463459999999,,,,,,,,,,,,,,,,,,,0.06786062735239748
TH0833010Y05,,13650.73903,,,,,,,,,,,,,,,,,,,0.0637170301351542
CNE100001F60,,12359.04622,,,,,,,,,,,,,,,,,,,0.057687845230274204
TH8906010005,,11200.91903,,,,,,,,,,,,,,,,,,,0.05228209943853362
ES0136463017,,11023.219570000001,,,,,,,,,,,,,,,,,,,0.0514526584959636
CH0108503795,,7990.853026999999,,,,,,,,,,,,,,,,,,,0.03729859768090131
